nr	colony	petridish	treatment	sample_type	concentration	fluorescence
7	C56	2.3	mid	ant	NA	21676.5
8	C56	2.3	mid	ant	NA	2200.75
9	C56	2.3	mid	ant	NA	11927.75
10	C56	2.3	mid	ant	NA	4380.75
11	C56	2.3	mid	ant	NA	12699.75
12	C56	2.3	mid	ant	NA	11399.25
13	C56	2.3	mid	ant	NA	11980
14	C56	2.3	mid	ant	NA	8183.75
15	C56	2.3	mid	ant	NA	1698.5
16	C56	2.3	mid	ant	NA	16301.5
17	C56	2.3	mid	ant	NA	13010
18	C56	2.3	mid	ant	NA	2310.25
19	C56	2.3	mid	ant	NA	8783.75
20	C56	2.3	mid	ant	NA	520.5
21	C56	2.3	mid	ant	NA	7685.5
1	C56	2.4	high	ant	NA	23545.5
2	C56	2.4	high	ant	NA	3662.25
3	C56	2.4	high	ant	NA	1356.25
4	C56	2.4	high	ant	NA	10869.5
5	C56	2.4	high	ant	NA	8203.25
6	C56	2.4	high	ant	NA	1433.75
7	C56	2.4	high	ant	NA	12764.75
8	C56	2.4	high	ant	NA	7703.5
9	C56	2.4	high	ant	NA	2484.25
10	C56	2.4	high	ant	NA	3755.25
11	C56	2.4	high	ant	NA	3023.25
12	C56	2.4	high	ant	NA	2598
13	C56	2.4	high	ant	NA	14369.25
14	C56	2.4	high	ant	NA	8789.75
15	C56	2.4	high	ant	NA	4784.25
16	C56	2.4	high	ant	NA	953.25
17	C56	2.4	high	ant	NA	7665
18	C56	2.4	high	ant	NA	921
19	C56	2.4	high	ant	NA	2777.75
20	C56	2.4	high	ant	NA	7973.75
21	C56	2.4	high	ant	NA	1133.5
1	C62	3.1	control	ant	NA	12798
2	C62	3.1	control	ant	NA	4086.5
3	C62	3.1	control	ant	NA	2025.5
4	C62	3.1	control	ant	NA	22675.25
5	C62	3.1	control	ant	NA	812
6	C62	3.1	control	ant	NA	10776.5
7	C62	3.1	control	ant	NA	12001.5
8	C62	3.1	control	ant	NA	18343.5
9	C62	3.1	control	ant	NA	25190
10	C62	3.1	control	ant	NA	6420.5
11	C62	3.1	control	ant	NA	10063
12	C62	3.1	control	ant	NA	9455.5
13	C62	3.1	control	ant	NA	10525.25
14	C62	3.1	control	ant	NA	15682.25
15	C62	3.1	control	ant	NA	8977
16	C62	3.1	control	ant	NA	684
17	C62	3.1	control	ant	NA	593
18	C62	3.1	control	ant	NA	8094.75
19	C62	3.1	control	ant	NA	2095
20	C62	3.1	control	ant	NA	581.75
21	C62	3.1	control	ant	NA	600.75
1	C62	3.2	low	ant	NA	22697
2	C62	3.2	low	ant	NA	23473.5
3	C62	3.2	low	ant	NA	15106
4	C62	3.2	low	ant	NA	8618.75
5	C62	3.2	low	ant	NA	22551.75
6	C62	3.2	low	ant	NA	10588.5
7	C62	3.2	low	ant	NA	12235.75
8	C62	3.2	low	ant	NA	8248.75
9	C62	3.2	low	ant	NA	13511.75
10	C62	3.2	low	ant	NA	15299.75
11	C62	3.2	low	ant	NA	21462.5
12	C62	3.2	low	ant	NA	26174.75
13	C62	3.2	low	ant	NA	13799.5
14	C62	3.2	low	ant	NA	7753.5
15	C62	3.2	low	ant	NA	9642.5
16	C62	3.2	low	ant	NA	10982.25
17	C62	3.2	low	ant	NA	9327.5
18	C62	3.2	low	ant	NA	525.75
19	C62	3.2	low	ant	NA	10299
20	C62	3.2	low	ant	NA	17858.75
21	C62	3.2	low	ant	NA	21802
1	C62	3.3	mid	ant	NA	10359.25
2	C62	3.3	mid	ant	NA	3054.5
3	C62	3.3	mid	ant	NA	570
4	C62	3.3	mid	ant	NA	9105.5
5	C62	3.3	mid	ant	NA	7921.25
6	C62	3.3	mid	ant	NA	1719
7	C62	3.3	mid	ant	NA	16923.5
8	C62	3.3	mid	ant	NA	4830.5
9	C62	3.3	mid	ant	NA	626.5
10	C62	3.3	mid	ant	NA	2107
11	C62	3.3	mid	ant	NA	9722.75
12	C62	3.3	mid	ant	NA	16092
13	C62	3.3	mid	ant	NA	9682.25
14	C62	3.3	mid	ant	NA	17793.25
15	C62	3.3	mid	ant	NA	14130.25
16	C62	3.3	mid	ant	NA	19608.75
17	C62	3.3	mid	ant	NA	2713.5
18	C62	3.3	mid	ant	NA	7803.5
19	C62	3.3	mid	ant	NA	16494.5
20	C62	3.3	mid	ant	NA	1980.25
21	C62	3.3	mid	ant	NA	6123.75
22	C62	3.3	mid	ant	NA	12746
1	C62	3.4	high	ant	NA	5726.5
2	C62	3.4	high	ant	NA	2807.5
3	C62	3.4	high	ant	NA	4505.75
4	C62	3.4	high	ant	NA	4245
5	C62	3.4	high	ant	NA	7945.75
6	C62	3.4	high	ant	NA	1767.25
7	C62	3.4	high	ant	NA	1118.75
8	C62	3.4	high	ant	NA	1129.75
9	C62	3.4	high	ant	NA	3009.75
10	C62	3.4	high	ant	NA	7765.25
11	C62	3.4	high	ant	NA	3997.75
12	C62	3.4	high	ant	NA	3625.75
13	C62	3.4	high	ant	NA	1851.25
14	C62	3.4	high	ant	NA	602
15	C62	3.4	high	ant	NA	3228.5
16	C62	3.4	high	ant	NA	1504.5
17	C62	3.4	high	ant	NA	3639.5
18	C62	3.4	high	ant	NA	2913.25
19	C62	3.4	high	ant	NA	16254.75
20	C62	3.4	high	ant	NA	1992.5
21	C62	3.4	high	ant	NA	1908.25
1	C34	4.1	control	ant	NA	11821.5
2	C34	4.1	control	ant	NA	14630.5
3	C34	4.1	control	ant	NA	9416.5
4	C34	4.1	control	ant	NA	9101.75
5	C34	4.1	control	ant	NA	744.5
6	C34	4.1	control	ant	NA	7169.5
7	C34	4.1	control	ant	NA	6871.25
8	C34	4.1	control	ant	NA	539.75
9	C34	4.1	control	ant	NA	8382.25
10	C34	4.1	control	ant	NA	28065.75
11	C34	4.1	control	ant	NA	383.75
12	C34	4.1	control	ant	NA	7561.75
13	C34	4.1	control	ant	NA	21993.25
14	C34	4.1	control	ant	NA	29421
15	C34	4.1	control	ant	NA	19649
16	C34	4.1	control	ant	NA	747
17	C34	4.1	control	ant	NA	24007.75
18	C34	4.1	control	ant	NA	731.25
19	C34	4.1	control	ant	NA	12475.25
20	C34	4.1	control	ant	NA	721.75
21	C34	4.1	control	ant	NA	7788.5
22	C34	4.1	control	ant	NA	16016.5
1	C34	4.2	low	ant	NA	13761.25
2	C34	4.2	low	ant	NA	15313.75
3	C34	4.2	low	ant	NA	2169.25
4	C34	4.2	low	ant	NA	13483.5
5	C34	4.2	low	ant	NA	11555.25
6	C34	4.2	low	ant	NA	20217.25
7	C34	4.2	low	ant	NA	13753.75
8	C34	4.2	low	ant	NA	10311.75
9	C34	4.2	low	ant	NA	9961.5
10	C34	4.2	low	ant	NA	13133
11	C34	4.2	low	ant	NA	14300.75
12	C34	4.2	low	ant	NA	19765.25
13	C34	4.2	low	ant	NA	11321
14	C34	4.2	low	ant	NA	10504.25
15	C34	4.2	low	ant	NA	16173.75
16	C34	4.2	low	ant	NA	22469.25
17	C34	4.2	low	ant	NA	11211.5
18	C34	4.2	low	ant	NA	24478
19	C34	4.2	low	ant	NA	14174
20	C34	4.2	low	ant	NA	823.75
21	C34	4.2	low	ant	NA	10581.75
22	C34	4.2	low	ant	NA	1674.25
23	C34	4.2	low	ant	NA	11797.5
1	C34	4.3	mid	ant	NA	4582.75
2	C34	4.3	mid	ant	NA	390
3	C34	4.3	mid	ant	NA	8064
4	C34	4.3	mid	ant	NA	5449.5
5	C34	4.3	mid	ant	NA	5449.5
6	C34	4.3	mid	ant	NA	5050.25
7	C34	4.3	mid	ant	NA	5766.75
8	C34	4.3	mid	ant	NA	6026.5
9	C34	4.3	mid	ant	NA	8388.5
10	C34	4.3	mid	ant	NA	13349.5
11	C34	4.3	mid	ant	NA	6583
12	C34	4.3	mid	ant	NA	6322.5
13	C34	4.3	mid	ant	NA	20757
14	C34	4.3	mid	ant	NA	659.5
15	C34	4.3	mid	ant	NA	3726.75
16	C34	4.3	mid	ant	NA	4054
17	C34	4.3	mid	ant	NA	23462.75
18	C34	4.3	mid	ant	NA	5203.25
19	C34	4.3	mid	ant	NA	7039
20	C34	4.3	mid	ant	NA	6254.25
21	C34	4.3	mid	ant	NA	19496.75
22	C34	4.3	mid	ant	NA	6242.5
23	C34	4.3	mid	ant	NA	8021.25
24	C34	4.3	mid	ant	NA	19575.25
25	C34	4.3	mid	ant	NA	12557.5
1	C34	4.4	high	ant	NA	4474.75
2	C34	4.4	high	ant	NA	874.75
3	C34	4.4	high	ant	NA	7170.5
4	C34	4.4	high	ant	NA	4980
5	C34	4.4	high	ant	NA	5105.75
6	C34	4.4	high	ant	NA	19325.75
7	C34	4.4	high	ant	NA	2974
8	C34	4.4	high	ant	NA	4124
9	C34	4.4	high	ant	NA	5117.5
10	C34	4.4	high	ant	NA	502.25
11	C34	4.4	high	ant	NA	1588.75
12	C34	4.4	high	ant	NA	772.25
13	C34	4.4	high	ant	NA	9840.25
14	C34	4.4	high	ant	NA	3118.75
15	C34	4.4	high	ant	NA	2473.25
16	C34	4.4	high	ant	NA	4205
17	C34	4.4	high	ant	NA	819.75
18	C34	4.4	high	ant	NA	280.25
19	C34	4.4	high	ant	NA	7522.5
1	C43	5.1	control	ant	NA	12619
2	C43	5.1	control	ant	NA	651.25
3	C43	5.1	control	ant	NA	7673.75
4	C43	5.1	control	ant	NA	12654.25
5	C43	5.1	control	ant	NA	14646
6	C43	5.1	control	ant	NA	6679
7	C43	5.1	control	ant	NA	965.5
8	C43	5.1	control	ant	NA	33088.25
9	C43	5.1	control	ant	NA	385
10	C43	5.1	control	ant	NA	8946.75
11	C43	5.1	control	ant	NA	254.5
12	C43	5.1	control	ant	NA	565
13	C43	5.1	control	ant	NA	10394
14	C43	5.1	control	ant	NA	14612.5
15	C43	5.1	control	ant	NA	27637.5
16	C43	5.1	control	ant	NA	280.5
1	C43	5.2	low	ant	NA	789.5
2	C43	5.2	low	ant	NA	280.25
3	C43	5.2	low	ant	NA	13967.25
4	C43	5.2	low	ant	NA	351.75
5	C43	5.2	low	ant	NA	15992
6	C43	5.2	low	ant	NA	9992
7	C43	5.2	low	ant	NA	15966
8	C43	5.2	low	ant	NA	12124.5
9	C43	5.2	low	ant	NA	8135.75
10	C43	5.2	low	ant	NA	20105.75
11	C43	5.2	low	ant	NA	640.25
12	C43	5.2	low	ant	NA	6961
13	C43	5.2	low	ant	NA	19001.75
14	C43	5.2	low	ant	NA	3945.5
15	C43	5.2	low	ant	NA	1648.75
16	C43	5.2	low	ant	NA	17240
17	C43	5.2	low	ant	NA	14724.5
1	C43	5.3	mid	ant	NA	7481
2	C43	5.3	mid	ant	NA	9074.25
3	C43	5.3	mid	ant	NA	6017.25
4	C43	5.3	mid	ant	NA	6769.25
5	C43	5.3	mid	ant	NA	13465.5
6	C43	5.3	mid	ant	NA	7054
7	C43	5.3	mid	ant	NA	7772.75
8	C43	5.3	mid	ant	NA	8155.75
9	C43	5.3	mid	ant	NA	807.25
10	C43	5.3	mid	ant	NA	7891.5
11	C43	5.3	mid	ant	NA	4944.5
12	C43	5.3	mid	ant	NA	7482.25
13	C43	5.3	mid	ant	NA	18112.75
14	C43	5.3	mid	ant	NA	9611.75
15	C43	5.3	mid	ant	NA	3823
16	C43	5.3	mid	ant	NA	903.75
17	C43	5.3	mid	ant	NA	4535
1	C43	5.4	high	ant	NA	2227
2	C43	5.4	high	ant	NA	7142
3	C43	5.4	high	ant	NA	5550.5
4	C43	5.4	high	ant	NA	6455
5	C43	5.4	high	ant	NA	2972.75
6	C43	5.4	high	ant	NA	5816.5
7	C43	5.4	high	ant	NA	4190
8	C43	5.4	high	ant	NA	714.25
9	C43	5.4	high	ant	NA	820
10	C43	5.4	high	ant	NA	3080.25
11	C43	5.4	high	ant	NA	1818.5
12	C43	5.4	high	ant	NA	2982.5
13	C43	5.4	high	ant	NA	4510.25
14	C43	5.4	high	ant	NA	4443.75
1	C39	6.1	control	ant	NA	856.5
2	C39	6.1	control	ant	NA	5942.25
3	C39	6.1	control	ant	NA	7317
4	C39	6.1	control	ant	NA	1873.25
5	C39	6.1	control	ant	NA	4763.25
6	C39	6.1	control	ant	NA	772
7	C39	6.1	control	ant	NA	11978.75
8	C39	6.1	control	ant	NA	9783.5
9	C39	6.1	control	ant	NA	7268.75
10	C39	6.1	control	ant	NA	746.75
11	C39	6.1	control	ant	NA	6400.75
12	C39	6.1	control	ant	NA	7626.5
13	C39	6.1	control	ant	NA	23293.25
14	C39	6.1	control	ant	NA	4458.5
15	C39	6.1	control	ant	NA	4394.75
16	C39	6.1	control	ant	NA	5532.25
17	C39	6.1	control	ant	NA	324.25
18	C39	6.1	control	ant	NA	1018
19	C39	6.1	control	ant	NA	701.25
20	C39	6.1	control	ant	NA	8378
21	C39	6.1	control	ant	NA	10829.75
22	C39	6.1	control	ant	NA	17914.25
23	C39	6.1	control	ant	NA	21282.25
24	C39	6.1	control	ant	NA	12283.25
25	C39	6.1	control	ant	NA	14580.5
26	C39	6.1	control	ant	NA	13306.75
27	C39	6.1	control	ant	NA	9921
28	C39	6.1	control	ant	NA	18124.25
1	C39	6.2	low	ant	NA	5835.25
2	C39	6.2	low	ant	NA	16101
3	C39	6.2	low	ant	NA	496.5
4	C39	6.2	low	ant	NA	17472.25
5	C39	6.2	low	ant	NA	5623.75
6	C39	6.2	low	ant	NA	706
7	C39	6.2	low	ant	NA	9913.5
8	C39	6.2	low	ant	NA	7320.25
9	C39	6.2	low	ant	NA	5930
10	C39	6.2	low	ant	NA	758.75
11	C39	6.2	low	ant	NA	21178.5
12	C39	6.2	low	ant	NA	6084.5
13	C39	6.2	low	ant	NA	9348.75
14	C39	6.2	low	ant	NA	550.5
15	C39	6.2	low	ant	NA	15803.25
16	C39	6.2	low	ant	NA	12054
17	C39	6.2	low	ant	NA	12499.5
18	C39	6.2	low	ant	NA	9773.25
19	C39	6.2	low	ant	NA	5515.25
20	C39	6.2	low	ant	NA	15065.75
21	C39	6.2	low	ant	NA	11469.25
22	C39	6.2	low	ant	NA	21328.75
23	C39	6.2	low	ant	NA	7171
24	C39	6.2	low	ant	NA	900
25	C39	6.2	low	ant	NA	13740.25
26	C39	6.2	low	ant	NA	634.25
1	C39	6.3	mid	ant	NA	3337
2	C39	6.3	mid	ant	NA	928.75
3	C39	6.3	mid	ant	NA	5081
4	C39	6.3	mid	ant	NA	5070.75
5	C39	6.3	mid	ant	NA	445.5
6	C39	6.3	mid	ant	NA	4569.75
7	C39	6.3	mid	ant	NA	3617.25
8	C39	6.3	mid	ant	NA	1029.75
9	C39	6.3	mid	ant	NA	15605
NA	NA	NA	blank	negative_ant	NA	582
NA	NA	NA	blank	negative_ant	NA	601.5
NA	NA	NA	blank	negative_ant	NA	644
NA	NA	NA	blank	negative_ant	NA	787.5
NA	NA	NA	blank	blank_pbs	NA	91
NA	NA	NA	blank	blank_pbs	NA	101.75
10	C39	6.3	mid	ant	NA	400.75
11	C39	6.3	mid	ant	NA	5384.25
12	C39	6.3	mid	ant	NA	643
13	C39	6.3	mid	ant	NA	483.25
14	C39	6.3	mid	ant	NA	8747.75
15	C39	6.3	mid	ant	NA	5243.5
16	C39	6.3	mid	ant	NA	4381.75
17	C39	6.3	mid	ant	NA	4097
18	C39	6.3	mid	ant	NA	936.25
19	C39	6.3	mid	ant	NA	12861.75
20	C39	6.3	mid	ant	NA	2612.25
1	C39	6.4	high	ant	NA	1972.25
2	C39	6.4	high	ant	NA	1341
3	C39	6.4	high	ant	NA	4087.75
4	C39	6.4	high	ant	NA	329
5	C39	6.4	high	ant	NA	3812
6	C39	6.4	high	ant	NA	11599.5
7	C39	6.4	high	ant	NA	6783.25
8	C39	6.4	high	ant	NA	2050.75
9	C39	6.4	high	ant	NA	2090.25
10	C39	6.4	high	ant	NA	6093.5
11	C39	6.4	high	ant	NA	1100.25
12	C39	6.4	high	ant	NA	470.5
13	C39	6.4	high	ant	NA	2664.75
14	C39	6.4	high	ant	NA	2006.25
15	C39	6.4	high	ant	NA	1077.75
16	C39	6.4	high	ant	NA	2110.5
17	C39	6.4	high	ant	NA	2241.5
18	C39	6.4	high	ant	NA	2750.25
19	C39	6.4	high	ant	NA	2222.25
20	C39	6.4	high	ant	NA	3021.5
21	C39	6.4	high	ant	NA	394
22	C39	6.4	high	ant	NA	2617
23	C39	6.4	high	ant	NA	1723.75
24	C39	6.4	high	ant	NA	991.5
25	C39	6.4	high	ant	NA	3974
26	C39	6.4	high	ant	NA	947
27	C39	6.4	high	ant	NA	3004.25
NA	NA	NA	blank	negative_ant	NA	586
NA	NA	NA	blank	negative_ant	NA	409.25
NA	NA	NA	blank	negative_ant	NA	590.75
NA	NA	NA	blank	negative_ant	NA	665.75
NA	NA	NA	blank	negative_ant	NA	476.25
NA	NA	NA	blank	negative_ant	NA	739
NA	NA	NA	blank	blank_pbs	NA	88.5
NA	NA	NA	blank	blank_pbs	NA	91.75
NA	NA	NA	blank	blank_pbs	NA	94.5
NA	NA	NA	blank	blank_pbs	NA	87
