"concentration","fungus","petri_dish","ant_ID","survival","block","censor","colony"
5,"S","L2S",15,14,"2",0,"2"
5,"S","L2S",16,14,"2",0,"2"
5,"S","L2S",17,14,"2",0,"2"
5,"S","L2S",18,14,"2",0,"2"
5,"S","L2S",19,14,"2",0,"2"
5,"M","L2M",1,14,"2",0,"2"
5,"M","L2M",2,12,"2",1,"2"
5,"M","L2M",3,12,"2",1,"2"
5,"M","L2M",4,14,"2",0,"2"
5,"M","L2M",5,4,"2",1,"2"
5,"M","L2M",6,14,"2",0,"2"
5,"M","L2M",7,14,"2",0,"2"
5,"M","L2M",8,3,"2",1,"2"
5,"M","L2M",9,14,"2",0,"2"
5,"M","L2M",10,3,"2",1,"2"
5,"M","L2M",11,14,"2",0,"2"
5,"M","L2M",12,14,"2",0,"2"
5,"M","L2M",13,14,"2",0,"2"
5,"M","L2M",14,4,"2",1,"2"
5,"M","L2M",15,4,"2",1,"2"
5,"M","L2M",16,4,"2",1,"2"
5,"M","L2M",17,4,"2",1,"2"
5,"M","L2M",18,4,"2",1,"2"
5,"M","L2M",19,14,"2",0,"2"
5,"M","L2M",20,14,"2",0,"2"
50,"S","H2S",1,14,"2",0,"2"
50,"S","H2S",2,14,"2",0,"2"
50,"S","H2S",3,14,"2",0,"2"
50,"S","H2S",4,9,"2",1,"2"
50,"S","H2S",5,12,"2",1,"2"
50,"S","H2S",6,14,"2",0,"2"
50,"S","H2S",7,2,"2",1,"2"
50,"S","H2S",8,14,"2",0,"2"
50,"S","H2S",9,14,"2",0,"2"
50,"S","H2S",10,14,"2",0,"2"
50,"S","H2S",11,9,"2",1,"2"
50,"S","H2S",12,14,"2",0,"2"
50,"S","H2S",13,14,"2",0,"2"
50,"S","H2S",14,13,"2",1,"2"
50,"S","H2S",15,14,"2",0,"2"
50,"S","H2S",16,14,"2",0,"2"
50,"S","H2S",17,14,"2",0,"2"
50,"S","H2S",18,14,"2",0,"2"
50,"S","H2S",19,14,"2",0,"2"
50,"S","H2S",20,14,"2",0,"2"
50,"M","H2M",1,4,"2",1,"2"
50,"M","H2M",2,4,"2",1,"2"
50,"M","H2M",3,9,"2",1,"2"
50,"M","H2M",4,3,"2",1,"2"
50,"M","H2M",5,13,"2",1,"2"
50,"M","H2M",6,5,"2",1,"2"
50,"M","H2M",7,2,"2",1,"2"
50,"M","H2M",8,1,"2",1,"2"
50,"M","H2M",9,14,"2",0,"2"
50,"M","H2M",10,2,"2",1,"2"
50,"M","H2M",11,14,"2",0,"2"
50,"M","H2M",12,2,"2",1,"2"
50,"M","H2M",13,1,"2",1,"2"
50,"M","H2M",14,5,"2",1,"2"
50,"M","H2M",15,4,"2",1,"2"
50,"M","H2M",16,3,"2",1,"2"
50,"M","H2M",17,14,"2",0,"2"
50,"M","H2M",18,5,"2",1,"2"
50,"M","H2M",19,14,"2",0,"2"
50,"M","H2M",20,14,"2",0,"2"
0,"S","C3S",1,14,"1",0,"3"
0,"S","C3S",2,1,"1",1,"3"
0,"S","C3S",3,14,"1",0,"3"
0,"S","C3S",4,5,"1",1,"3"
0,"S","C3S",5,2,"1",1,"3"
0,"S","C3S",6,7,"1",1,"3"
0,"S","C3S",7,14,"1",0,"3"
0,"S","C3S",8,14,"1",0,"3"
0,"S","C3S",9,1,"1",1,"3"
0,"S","C3S",10,14,"1",0,"3"
0,"S","C3S",11,14,"1",0,"3"
0,"S","C3S",12,5,"1",1,"3"
0,"S","C3S",13,14,"1",0,"3"
0,"S","C3S",14,14,"1",0,"3"
0,"S","C3S",15,14,"1",0,"3"
0,"S","C3S",16,14,"1",0,"3"
0,"S","C3S",17,14,"1",0,"3"
0,"S","C3S",18,14,"1",0,"3"
0,"S","C3S",19,14,"1",0,"3"
0,"S","C3S",20,14,"1",0,"3"
0,"M","C3M",1,2,"1",1,"3"
0,"M","C3M",2,2,"1",1,"3"
0,"M","C3M",3,1,"1",1,"3"
0,"M","C3M",4,4,"1",1,"3"
0,"M","C3M",5,2,"1",1,"3"
0,"M","C3M",6,1,"1",1,"3"
0,"M","C3M",7,14,"1",0,"3"
0,"M","C3M",8,3,"1",1,"3"
0,"M","C3M",9,3,"1",1,"3"
0,"M","C3M",10,2,"1",1,"3"
0,"M","C3M",11,14,"1",0,"3"
0,"M","C3M",12,13,"1",1,"3"
0,"M","C3M",13,3,"1",1,"3"
0,"M","C3M",14,14,"1",0,"3"
0,"M","C3M",15,14,"1",0,"3"
0,"M","C3M",16,14,"1",0,"3"
0,"M","C3M",17,14,"1",0,"3"
0,"M","C3M",18,4,"1",1,"3"
0,"M","C3M",19,3,"1",1,"3"
0,"M","C3M",20,4,"1",1,"3"
5,"S","L3S",1,14,"2",0,"3"
5,"S","L3S",2,2,"2",1,"3"
5,"S","L3S",3,12,"2",1,"3"
5,"S","L3S",4,14,"2",0,"3"
5,"S","L3S",5,3,"2",1,"3"
5,"S","L3S",6,10,"2",1,"3"
5,"S","L3S",7,13,"2",1,"3"
5,"S","L3S",8,14,"2",0,"3"
5,"S","L3S",9,10,"2",1,"3"
5,"S","L3S",10,14,"2",0,"3"
5,"S","L3S",11,14,"2",0,"3"
5,"S","L3S",12,14,"2",0,"3"
5,"S","L3S",13,14,"2",0,"3"
5,"S","L3S",14,14,"2",0,"3"
5,"S","L3S",15,14,"2",0,"3"
5,"S","L3S",16,14,"2",0,"3"
5,"S","L3S",17,14,"2",0,"3"
5,"S","L3S",18,10,"2",1,"3"
5,"S","L3S",19,14,"2",0,"3"
5,"S","L3S",20,5,"2",1,"3"
5,"M","L3M",1,14,"2",0,"3"
5,"M","L3M",2,14,"2",0,"3"
5,"M","L3M",3,14,"2",0,"3"
5,"M","L3M",4,2,"2",1,"3"
5,"M","L3M",5,2,"2",1,"3"
5,"M","L3M",6,4,"2",1,"3"
5,"M","L3M",7,4,"2",1,"3"
5,"M","L3M",8,2,"2",1,"3"
5,"M","L3M",9,14,"2",0,"3"
5,"M","L3M",10,4,"2",1,"3"
5,"M","L3M",11,14,"2",0,"3"
5,"M","L3M",12,14,"2",0,"3"
5,"M","L3M",13,14,"2",0,"3"
5,"M","L3M",14,2,"2",1,"3"
5,"M","L3M",15,4,"2",1,"3"
5,"M","L3M",16,4,"2",1,"3"
5,"M","L3M",17,14,"2",0,"3"
5,"M","L3M",18,5,"2",1,"3"
5,"M","L3M",19,4,"2",1,"3"
5,"M","L3M",20,2,"2",1,"3"
50,"S","H3S",1,4,"2",1,"3"
50,"S","H3S",2,9,"2",1,"3"
50,"S","H3S",3,2,"2",1,"3"
50,"S","H3S",4,1,"2",1,"3"
50,"S","H3S",5,14,"2",0,"3"
50,"S","H3S",6,4,"2",1,"3"
50,"S","H3S",7,12,"2",1,"3"
50,"S","H3S",8,14,"2",0,"3"
50,"S","H3S",9,14,"2",0,"3"
50,"S","H3S",10,14,"2",0,"3"
50,"S","H3S",11,14,"2",0,"3"
50,"S","H3S",12,14,"2",0,"3"
50,"S","H3S",13,3,"2",1,"3"
50,"S","H3S",14,3,"2",1,"3"
50,"S","H3S",15,14,"2",0,"3"
50,"S","H3S",16,14,"2",0,"3"
50,"S","H3S",17,14,"2",0,"3"
50,"S","H3S",18,14,"2",0,"3"
50,"S","H3S",19,14,"2",0,"3"
50,"S","H3S",20,9,"2",1,"3"
50,"M","H3M",1,4,"2",1,"3"
50,"M","H3M",2,4,"2",1,"3"
50,"M","H3M",3,3,"2",1,"3"
50,"M","H3M",4,4,"2",1,"3"
50,"M","H3M",5,14,"2",0,"3"
50,"M","H3M",6,4,"2",1,"3"
50,"M","H3M",7,1,"2",1,"3"
50,"M","H3M",8,3,"2",1,"3"
50,"M","H3M",9,2,"2",1,"3"
50,"M","H3M",10,7,"2",1,"3"
50,"M","H3M",11,14,"2",0,"3"
50,"M","H3M",12,14,"2",0,"3"
50,"M","H3M",13,2,"2",1,"3"
50,"M","H3M",14,5,"2",1,"3"
50,"M","H3M",15,14,"2",0,"3"
50,"M","H3M",16,1,"2",1,"3"
50,"M","H3M",17,3,"2",1,"3"
50,"M","H3M",18,4,"2",1,"3"
50,"M","H3M",19,12,"2",1,"3"
50,"M","H3M",20,1,"2",1,"3"
0,"S","C4S",1,14,"2",0,"4"
0,"S","C4S",2,14,"2",0,"4"
0,"S","C4S",3,14,"2",0,"4"
0,"S","C4S",4,13,"2",1,"4"
0,"S","C4S",5,13,"2",1,"4"
0,"S","C4S",6,14,"2",0,"4"
0,"S","C4S",7,14,"2",0,"4"
0,"S","C4S",8,14,"2",0,"4"
0,"S","C4S",9,14,"2",0,"4"
0,"S","C4S",10,4,"2",1,"4"
0,"S","C4S",11,14,"2",0,"4"
0,"S","C4S",12,14,"2",0,"4"
0,"S","C4S",13,3,"2",1,"4"
0,"S","C4S",14,14,"2",0,"4"
0,"S","C4S",15,9,"2",1,"4"
0,"S","C4S",16,14,"2",0,"4"
0,"S","C4S",17,12,"2",1,"4"
0,"S","C4S",18,14,"2",0,"4"
0,"S","C4S",19,14,"2",0,"4"
0,"S","C4S",20,14,"2",0,"4"
0,"M","C4M",1,14,"2",0,"4"
0,"M","C4M",2,14,"2",0,"4"
0,"M","C4M",3,6,"2",1,"4"
0,"M","C4M",4,14,"2",0,"4"
0,"M","C4M",5,13,"2",1,"4"
0,"M","C4M",6,14,"2",0,"4"
0,"M","C4M",7,14,"2",0,"4"
0,"M","C4M",8,14,"2",0,"4"
0,"M","C4M",9,14,"2",0,"4"
0,"M","C4M",10,4,"2",1,"4"
0,"M","C4M",11,14,"2",0,"4"
0,"M","C4M",12,14,"2",0,"4"
0,"M","C4M",13,13,"2",1,"4"
0,"M","C4M",14,14,"2",0,"4"
0,"M","C4M",15,14,"2",0,"4"
0,"M","C4M",16,14,"2",0,"4"
0,"M","C4M",17,13,"2",1,"4"
0,"M","C4M",18,13,"2",1,"4"
0,"M","C4M",19,14,"2",0,"4"
0,"M","C4M",20,14,"2",0,"4"
5,"S","L4S",1,14,"2",0,"4"
5,"S","L4S",2,14,"2",0,"4"
5,"S","L4S",3,14,"2",0,"4"
5,"S","L4S",4,14,"2",0,"4"
5,"S","L4S",5,14,"2",0,"4"
5,"S","L4S",6,14,"2",0,"4"
5,"S","L4S",7,6,"2",1,"4"
5,"S","L4S",8,14,"2",0,"4"
5,"S","L4S",9,14,"2",0,"4"
5,"S","L4S",10,14,"2",0,"4"
5,"S","L4S",11,9,"2",1,"4"
5,"S","L4S",12,11,"2",1,"4"
5,"S","L4S",13,14,"2",0,"4"
5,"S","L4S",14,14,"2",0,"4"
5,"S","L4S",15,14,"2",0,"4"
5,"S","L4S",16,14,"2",0,"4"
5,"S","L4S",17,14,"2",0,"4"
5,"S","L4S",18,14,"2",0,"4"
5,"S","L4S",19,14,"2",0,"4"
5,"S","L4S",20,14,"2",0,"4"
5,"M","L4M",1,8,"2",1,"4"
5,"M","L4M",2,4,"2",1,"4"
5,"M","L4M",3,14,"2",0,"4"
5,"M","L4M",4,14,"2",0,"4"
5,"M","L4M",5,3,"2",1,"4"
5,"M","L4M",6,11,"2",1,"4"
5,"M","L4M",7,7,"2",1,"4"
5,"M","L4M",8,1,"2",1,"4"
5,"M","L4M",9,14,"2",0,"4"
5,"M","L4M",10,14,"2",0,"4"
5,"M","L4M",11,5,"2",1,"4"
5,"M","L4M",12,4,"2",1,"4"
5,"M","L4M",13,14,"2",0,"4"
5,"M","L4M",14,14,"2",0,"4"
5,"M","L4M",15,4,"2",1,"4"
5,"M","L4M",16,4,"2",1,"4"
5,"M","L4M",17,13,"2",1,"4"
5,"M","L4M",18,14,"2",0,"4"
5,"M","L4M",19,14,"2",0,"4"
5,"M","L4M",20,4,"2",1,"4"
50,"S","H4S",1,4,"1",1,"4"
50,"S","H4S",2,14,"1",0,"4"
50,"S","H4S",3,14,"1",0,"4"
50,"S","H4S",4,14,"1",0,"4"
50,"S","H4S",5,14,"1",0,"4"
50,"S","H4S",6,14,"1",0,"4"
50,"S","H4S",7,14,"1",0,"4"
50,"S","H4S",8,1,"1",1,"4"
50,"S","H4S",9,14,"1",0,"4"
50,"S","H4S",10,14,"1",0,"4"
50,"S","H4S",11,14,"1",0,"4"
50,"S","H4S",12,10,"1",1,"4"
50,"S","H4S",13,14,"1",0,"4"
50,"S","H4S",14,14,"1",0,"4"
50,"S","H4S",15,14,"1",0,"4"
50,"S","H4S",16,14,"1",0,"4"
50,"S","H4S",17,14,"1",0,"4"
50,"S","H4S",18,14,"1",0,"4"
50,"S","H4S",19,1,"1",1,"4"
50,"S","H4S",20,14,"1",0,"4"
50,"M","H4M",1,14,"1",0,"4"
50,"M","H4M",2,6,"1",1,"4"
50,"M","H4M",3,14,"1",0,"4"
50,"M","H4M",4,6,"1",1,"4"
50,"M","H4M",5,4,"1",1,"4"
50,"M","H4M",6,14,"1",0,"4"
50,"M","H4M",7,4,"1",1,"4"
50,"M","H4M",8,14,"1",0,"4"
50,"M","H4M",9,1,"1",1,"4"
50,"M","H4M",10,6,"1",1,"4"
50,"M","H4M",11,1,"1",1,"4"
50,"M","H4M",12,3,"1",1,"4"
50,"M","H4M",13,14,"1",0,"4"
50,"M","H4M",14,6,"1",1,"4"
50,"M","H4M",15,2,"1",1,"4"
50,"M","H4M",16,14,"1",0,"4"
50,"M","H4M",17,14,"1",0,"4"
50,"M","H4M",18,14,"1",0,"4"
50,"M","H4M",19,13,"1",1,"4"
50,"M","H4M",20,14,"1",0,"4"
0,"S","C5S",1,14,"1",0,"5"
0,"S","C5S",2,8,"1",1,"5"
0,"S","C5S",3,14,"1",0,"5"
0,"S","C5S",4,7,"1",1,"5"
0,"S","C5S",5,14,"1",0,"5"
0,"S","C5S",6,14,"1",0,"5"
0,"S","C5S",7,14,"1",0,"5"
0,"S","C5S",8,7,"1",1,"5"
0,"S","C5S",9,2,"1",1,"5"
0,"S","C5S",10,14,"1",0,"5"
0,"S","C5S",11,14,"1",0,"5"
0,"S","C5S",12,12,"1",1,"5"
0,"S","C5S",13,11,"1",1,"5"
0,"S","C5S",14,10,"1",1,"5"
0,"S","C5S",15,14,"1",0,"5"
0,"S","C5S",16,14,"1",0,"5"
0,"S","C5S",17,14,"1",0,"5"
0,"S","C5S",18,14,"1",0,"5"
0,"S","C5S",19,11,"1",1,"5"
0,"S","C5S",20,7,"1",1,"5"
0,"M","C5M",1,14,"1",0,"5"
0,"M","C5M",2,14,"1",0,"5"
0,"M","C5M",3,14,"1",0,"5"
0,"M","C5M",4,4,"1",1,"5"
0,"M","C5M",5,2,"1",1,"5"
0,"M","C5M",6,14,"1",0,"5"
0,"M","C5M",7,14,"1",0,"5"
0,"M","C5M",8,2,"1",1,"5"
0,"M","C5M",9,14,"1",0,"5"
0,"M","C5M",10,1,"1",1,"5"
0,"M","C5M",11,14,"1",0,"5"
0,"M","C5M",12,14,"1",0,"5"
0,"M","C5M",13,14,"1",0,"5"
0,"M","C5M",14,3,"1",1,"5"
0,"M","C5M",15,7,"1",1,"5"
0,"M","C5M",16,3,"1",1,"5"
0,"M","C5M",17,4,"1",1,"5"
0,"M","C5M",18,14,"1",0,"5"
0,"M","C5M",19,14,"1",0,"5"
0,"M","C5M",20,4,"1",1,"5"
5,"S","L5S",1,14,"1",0,"5"
5,"S","L5S",2,14,"1",0,"5"
5,"S","L5S",3,14,"1",0,"5"
5,"S","L5S",4,14,"1",0,"5"
5,"S","L5S",5,14,"1",0,"5"
5,"S","L5S",6,14,"1",0,"5"
5,"S","L5S",7,14,"1",0,"5"
5,"S","L5S",8,14,"1",0,"5"
5,"S","L5S",9,14,"1",0,"5"
5,"S","L5S",10,14,"1",0,"5"
5,"S","L5S",11,14,"1",0,"5"
5,"S","L5S",12,14,"1",0,"5"
5,"S","L5S",13,14,"1",0,"5"
5,"S","L5S",14,14,"1",0,"5"
5,"S","L5S",15,12,"1",1,"5"
5,"S","L5S",16,14,"1",0,"5"
5,"S","L5S",17,14,"1",0,"5"
5,"S","L5S",18,11,"1",1,"5"
5,"S","L5S",19,14,"1",0,"5"
5,"S","L5S",20,14,"1",0,"5"
5,"M","L5M",1,14,"1",0,"5"
5,"M","L5M",2,14,"1",0,"5"
5,"M","L5M",3,4,"1",1,"5"
5,"M","L5M",4,14,"1",0,"5"
5,"M","L5M",5,7,"1",1,"5"
5,"M","L5M",6,14,"1",0,"5"
5,"M","L5M",7,14,"1",0,"5"
5,"M","L5M",8,5,"1",1,"5"
5,"M","L5M",9,14,"1",0,"5"
5,"M","L5M",10,4,"1",1,"5"
5,"M","L5M",11,4,"1",1,"5"
5,"M","L5M",12,14,"1",0,"5"
5,"M","L5M",13,14,"1",0,"5"
5,"M","L5M",14,5,"1",1,"5"
5,"M","L5M",15,4,"1",1,"5"
5,"M","L5M",16,2,"1",1,"5"
5,"M","L5M",17,5,"1",1,"5"
5,"M","L5M",18,4,"1",1,"5"
5,"M","L5M",19,14,"1",0,"5"
5,"M","L5M",20,5,"1",1,"5"
50,"S","H5S",1,14,"2",0,"5"
50,"S","H5S",2,14,"2",0,"5"
50,"S","H5S",3,5,"2",1,"5"
50,"S","H5S",4,13,"2",1,"5"
50,"S","H5S",5,14,"2",0,"5"
50,"S","H5S",6,14,"2",0,"5"
50,"S","H5S",7,14,"2",0,"5"
50,"S","H5S",8,14,"2",0,"5"
50,"S","H5S",9,14,"2",0,"5"
50,"S","H5S",10,14,"2",0,"5"
50,"S","H5S",11,9,"2",1,"5"
50,"S","H5S",12,14,"2",0,"5"
50,"S","H5S",13,8,"2",1,"5"
50,"S","H5S",14,14,"2",0,"5"
50,"S","H5S",15,14,"2",0,"5"
50,"S","H5S",16,12,"2",1,"5"
50,"S","H5S",17,6,"2",1,"5"
50,"S","H5S",18,14,"2",0,"5"
50,"S","H5S",19,14,"2",0,"5"
50,"S","H5S",20,14,"2",0,"5"
50,"M","H5M",1,5,"2",1,"5"
50,"M","H5M",2,9,"2",1,"5"
50,"M","H5M",3,14,"2",0,"5"
50,"M","H5M",4,3,"2",1,"5"
50,"M","H5M",5,4,"2",1,"5"
50,"M","H5M",6,4,"2",1,"5"
50,"M","H5M",7,3,"2",1,"5"
50,"M","H5M",8,4,"2",1,"5"
50,"M","H5M",9,11,"2",1,"5"
50,"M","H5M",10,5,"2",1,"5"
50,"M","H5M",11,13,"2",1,"5"
50,"M","H5M",12,4,"2",1,"5"
50,"M","H5M",13,14,"2",0,"5"
50,"M","H5M",14,14,"2",0,"5"
50,"M","H5M",15,5,"2",1,"5"
50,"M","H5M",16,14,"2",0,"5"
50,"M","H5M",17,14,"2",0,"5"
50,"M","H5M",18,3,"2",1,"5"
50,"M","H5M",19,14,"2",0,"5"
50,"M","H5M",20,14,"2",0,"5"
