number	identity 	treatment_1 	treatment_2	treatment	collection_date	death_date	day_of_death	y2_survival_status	y1_survival_status	adult_production	y1_eggs	y1_larva	y1_pupae	y1_adults	y2_eggs	y2_larva	y2_pupae	y2_adults	weight_queens	weight_adults	tw_thiamethoxam_workers_dryconcentration	cw_clothianidin_workers_dryconcentration	tq_thiamethoxam_queens_dryconcentration	cq_clothianidin_queens_dryconcentration	pos_neg_workers	pos_neg_queens	virus_copies_per_worker	virus_copies_per_queen					
30	L10V	low	virus	4	30.07.16	17.05.17	279	1	0	1	1	34	0	16	NA	NA	NA	NA	NA	NA	NA	NA	0.395121951	0.556097561	NA	NA	NA	NA					
31	L11C	low	control	3	30.07.16	31.10.17	446	0	0	1	0	27	0	13	10	74	4	163	35.5	19.7	0.089041096	0.146575342	0.140512821	0	pos	pos	6.72E+03	6.54E+04					
32	L12V	low	virus	4	30.07.16	31.10.17	446	0	0	1	0	31	0	19	3	6	0	171	34.5	18.5	0.114492754	0.25942029	0.159183673	0	pos	pos	7.71E+05	7.15E+04					
33	L13V	low	virus	4	30.07.16	31.10.17	446	0	0	1	1	44	0	19	13	46	7	204	43.3	16.6	0.371428571	0.174285714	0.064545455	0	pos	pos	3.63E+05	8.92E+05					
34	L14C	low	control	3	30.07.16	12.09.17	397	1	0	1	0	32	0	17	NA	NA	NA	NA	NA	NA	NA	NA	0	0	pos	pos	3.68E+03	2.13E+05					
35	L15V	low	virus	4	30.07.16	31.10.17	446	0	0	1	0	52	0	17	5	33	0	201	41.6	17.3	0.213138686	0.213138686	0.106224066	0	pos	pos	1.33E+05	1.91E+05					
36	L16V	low	virus	4	30.07.16	31.10.17	446	0	0	1	1	43	0	5	5	106	5	153	30.1	16.2	0.968345324	0.237410072	0.246534653	0	pos	pos	4.45E+04	2.38E+04					
37	L17C	low	control	3	30.07.16	31.10.17	446	0	0	1	0	42	0	19	12	83	2	285	32.6	18.6	0.116666667	0.2	0.103896104	0	neg	neg	5.63E+02	9.65E+03					
38	L18C	low	control	3	30.07.16	31.10.17	446	0	0	1	0	45	0	13	0	32	0	198	32.5	19.3	0.111267606	0.318309859	0.089686099	0	pos	pos	3.17E+03	4.75E+04					
39	L19C	low	control	3	30.07.16	31.10.17	446	0	0	1	0	36	0	21	8	42	2	179	38.4	20.7	0.386486486	0.332432432	0.143564356	0.10990099	neg	pos	2.81E+01	4.81E+04					
40	L20V	low	virus	4	30.07.16	31.10.17	446	0	0	1	2	53	0	17	6	40	0	169	34.3	17.7	0.143939394	0.434848485	0.174725275	0.095604396	pos	pos	3.12E+03	2.47E+05					
41	H1V	high	virus	6	30.07.16	31.10.17	446	0	0	1	6	40	1	13	0	36	0	213	32.4	16.7	0.507894737	1.4	0.39638009	0.099547511	pos	pos	5.23E+02	1.02E+06					
42	H2C	high	control	5	30.07.16	31.10.17	446	0	0	1	0	34	0	16	0	39	0	139	38.4	20.3	0.134722222	1.270833333	0.438918919	0.193513514	neg	neg	1.00E+03	2.26E+04					
43	H3V	high	virus	6	30.07.16	31.10.17	446	0	0	1	0	35	0	13	0	18	0	78	33.7	17	2.44	1.964137931	0.6112	0.2288	pos	pos	8.11E+04	1.87E+05					
44	H4C	high	control	5	30.07.16	26.08.16	15	1	1	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.234309623	0	NA	NA	NA	NA					
45	H5V	high	virus	6	30.07.16	31.10.17	446	0	0	1	0	36	0	15	0	37	0	124	36.3	16.6	2.010071942	1.8	0.348648649	0.260810811	pos	pos	1.83E+03	1.91E+04					
46	H6C	high	control	5	30.07.16	31.10.17	446	0	0	1	2	40	2	17	0	32	1	193	40.4	15.7	0.509923664	0.755725191	0.517073171	0.895121951	pos	pos	6.47E+02	9.69E+04					
47	H7C	high	control	5	30.07.16	31.10.17	446	0	0	1	2	36	0	17	0	23	0	126	29.5	18.1	1.243589744	0.574358974	0.230769231	0.257692308	neg	neg	8.99E+01	3.78E+04					
48	H8V	high	virus	6	30.07.16	31.10.17	446	0	0	1	14	35	0	18	23	30	0	140	24.8	18	1.833333333	0.484057971	0.138235294	0	pos	pos	3.08E+04	7.98E+04					
49	H9V	high	virus	6	30.07.16	31.10.17	446	0	0	1	0	37	0	22	10	18	0	112	34.3	14.5	1.263157895	2.048120301	0.21719457	0.197285068	pos	pos	1.70E+05	1.08E+05					
50	H10C	high	control	5	30.07.16	31.10.17	446	0	0	1	0	45	0	15	2	24	8	146	37.8	17.9	0.86259542	2.78778626	1.434554974	0.169633508	pos	pos	1.80E+03	2.63E+04					
51	H11V	high	virus	6	30.07.16	23.11.16	104	1	1	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.187628866	0.206185567	NA	NA	NA	NA					
52	H12C	high	control	5	30.07.16	31.10.17	446	0	0	1	0	38	1	11	0	53	5	216	32.7	15	0.529411765	1.304411765	0.18	0	neg	neg	4.44E+02	8.28E+03					
53	H13V	high	virus	6	30.07.16	31.10.17	446	0	0	1	0	32	0	15	0	22	0	236	32	16.4	0.270769231	1.676923077	0.179865772	0.153020134	pos	pos	1.14E+05	4.12E+05					
54	H14C	high	control	5	30.07.16	31.10.17	446	0	0	1	0	34	0	17	8	46	0	131	33.8	17.6	1.341984733	3.545038168	1.168421053	0.458646617	neg	pos	6.76E+01	2.83E+04					
55	H15V	high	virus	6	30.07.16	31.10.17	446	0	0	1	0	27	0	15	5	42	2	158	28.7	21.6	0.28961039	1.227272727	0.207453416	0.139130435	pos	neg	8.37E+02	1.98E+04					
56	H16C	high	control	5	30.07.16	31.10.17	446	0	0	1	12	29	1	6	6	50	1	182	29.8	15.8	0.315277778	2.251388889	0.251396648	0.193296089	neg	neg	1.31E+01	4.07E+04					
57	H17V	high	virus	6	30.07.16	31.10.17	446	0	0	1	0	44	0	21	0	46	0	142	38.5	18.8	0.051428571	0.261428571	0.162895928	0	pos	pos	9.75E+02	3.68E+05					
58	H18V	high	virus	6	30.07.16	10.05.17	272	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0.225225225	0.362162162	NA	NA	NA	NA					
59	H19C	high	control	5	30.07.16	11.07.17	334	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
60	H20C	high	control	5	30.07.16	31.10.17	446	0	0	1	0	39	0	23	0	6	0	157	38.7	19.3	0.275	0.894444444	0.178378378	0.098198198	neg	pos	5.75E+01	1.41E+05					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
