run	nr	colony	petridish	treatment	sample_type	conc	fluorescence_week1	fluorescence_week2	well	row	column	plate													
1	8	NA	NA	std_curve	std_curve_low	0.0390625	3443.25	2739.5	H3	H	03	1.1													
1	8	NA	NA	std_curve	std_curve_high	0.0390625	3644.5	2890.5	H4	H	04	1.1													
1	3	C1	1.1	control	ant	NA	5141	3921.5	H5	H	05	1.1													
1	11	C1	1.1	control	ant	NA	2680.5	2041	H6	H	06	1.1													
1	19	C1	1.1	control	ant	NA	5526.75	4113	H7	H	07	1.1													
1	3	C1	1.3	low	ant	NA	1833.25	1417.75	H8	H	08	1.1													
1	11	C1	1.3	low	ant	NA	5299.5	4024.5	H9	H	09	1.1													
1	19	C1	1.3	low	ant	NA	2245.5	1728	H10	H	10	1.1													
1	3	C1	1.5	high	ant	NA	5860.25	3909.5	H11	H	11	1.1													
1	11	C1	1.5	high	ant	NA	1934.5	860	H12	H	12	1.1													
1	12	C1	1.5	high	ant	NA	1595.25	1228.25	A1	A	01	1.2													
1	20	C1	1.5	high	ant	NA	1201	951	A2	A	02	1.2													
1	7	C2	1.2	control	ant	NA	18733.5	13627.5	A3	A	03	1.2													
1	15	C2	1.2	control	ant	NA	9445.5	6993.25	A4	A	04	1.2													
1	23	C2	1.2	control	ant	NA	12780.25	9553.5	A5	A	05	1.2													
1	4	C2	1.4	low	ant	NA	2997.5	2170.25	A6	A	06	1.2													
1	12	C2	1.4	low	ant	NA	15066.75	11118.5	A7	A	07	1.2													
1	20	C2	1.4	low	ant	NA	12077.5	8956.5	A8	A	08	1.2													
1	2	C2	1.6	high	ant	NA	3029.25	2269.5	A9	A	09	1.2													
1	10	C2	1.6	high	ant	NA	1148.25	892	A10	A	10	1.2													
1	18	C2	1.6	high	ant	NA	13147	9951.25	A11	A	11	1.2													
1	26	C2	1.6	high	ant	NA	6761.25	4646	A12	A	12	1.2													
1	13	C1	1.5	high	ant	NA	683	561.25	B1	B	01	1.2													
1	21	C1	1.5	high	ant	NA	639.25	512.25	B2	B	02	1.2													
1	8	C2	1.2	control	ant	NA	11358	8180	B3	B	03	1.2													
1	16	C2	1.2	control	ant	NA	14008	10099.5	B4	B	04	1.2													
1	24	C2	1.2	control	ant	NA	14293.5	10297.25	B5	B	05	1.2													
1	5	C2	1.4	low	ant	NA	34588.5	24441	B6	B	06	1.2													
1	13	C2	1.4	low	ant	NA	2594	1876.5	B7	B	07	1.2													
1	21	C2	1.4	low	ant	NA	34502.75	25428.25	B8	B	08	1.2													
1	3	C2	1.6	high	ant	NA	2097	1589.75	B9	B	09	1.2													
1	11	C2	1.6	high	ant	NA	1174.75	887.5	B10	B	10	1.2													
1	19	C2	1.6	high	ant	NA	3419.75	2545.25	B11	B	11	1.2													
1	27	C2	1.6	high	ant	NA	6007.25	4043.75	B12	B	12	1.2													
1	14	C1	1.5	high	ant	NA	1083.5	851.5	C1	C	01	1.2													
1	1	C2	1.2	control	ant	NA	7590.25	5492.5	C2	C	02	1.2													
1	9	C2	1.2	control	ant	NA	6269.25	4496	C3	C	03	1.2													
1	17	C2	1.2	control	ant	NA	10287	7452.25	C4	C	04	1.2													
1	25	C2	1.2	control	ant	NA	8331.25	5912.75	C5	C	05	1.2													
1	6	C2	1.4	low	ant	NA	8104	5788.25	C6	C	06	1.2													
1	14	C2	1.4	low	ant	NA	14553	10203	C7	C	07	1.2													
1	22	C2	1.4	low	ant	NA	7969.75	5696.5	C8	C	08	1.2													
1	4	C2	1.6	high	ant	NA	2696	1970.75	C9	C	09	1.2													
1	12	C2	1.6	high	ant	NA	10470.25	7708.25	C10	C	10	1.2													
1	20	C2	1.6	high	ant	NA	4319.25	3172.25	C11	C	11	1.2													
1	NA	C2	NA	NA	blank_pbs	NA	109.25	97.5	C12	C	12	1.2													
1	15	C1	1.5	high	ant	NA	977	763.25	D1	D	01	1.2													
1	2	C2	1.2	control	ant	NA	7411.5	5476.5	D2	D	02	1.2													
1	10	C2	1.2	control	ant	NA	4378	3138.75	D3	D	03	1.2													
1	18	C2	1.2	control	ant	NA	21206	15341.5	D4	D	04	1.2													
1	26	C2	1.2	control	ant	NA	11988.25	8584.25	D5	D	05	1.2													
1	7	C2	1.4	low	ant	NA	28575.25	20493.25	D6	D	06	1.2													
1	15	C2	1.4	low	ant	NA	6410	4581	D7	D	07	1.2													
1	23	C2	1.4	low	ant	NA	15287.25	10963.25	D8	D	08	1.2													
1	5	C2	1.6	high	ant	NA	4142.75	2961.5	D9	D	09	1.2													
1	13	C2	1.6	high	ant	NA	8046.5	6004.5	D10	D	10	1.2													
1	21	C2	1.6	high	ant	NA	2346.5	1616	D11	D	11	1.2													
1	NA	C2	NA	NA	blank_pbs	NA	100.5	87.5	D12	D	12	1.2													
1	16	C1	1.5	high	ant	NA	8651	6343	E1	E	01	1.2													
1	3	C2	1.2	control	ant	NA	9383.25	6708	E2	E	02	1.2													
1	11	C2	1.2	control	ant	NA	5733.75	4117.75	E3	E	03	1.2													
1	19	C2	1.2	control	ant	NA	7421	5210.25	E4	E	04	1.2													
1	27	C2	1.2	control	ant	NA	17482.25	12664.5	E5	E	05	1.2													
1	8	C2	1.4	low	ant	NA	7830.25	5590	E6	E	06	1.2													
1	16	C2	1.4	low	ant	NA	5859	4298.25	E7	E	07	1.2													
1	24	C2	1.4	low	ant	NA	20628	15094.75	E8	E	08	1.2													
1	6	C2	1.6	high	ant	NA	2527.5	1869.5	E9	E	09	1.2													
1	14	C2	1.6	high	ant	NA	1581.75	1185.5	E10	E	10	1.2													
1	22	C2	1.6	high	ant	NA	15920.25	10118.25	E11	E	11	1.2													
1	NA	C2	NA	NA	blank_pbs	NA	104.25	90	E12	E	12	1.2													
1	17	C1	1.5	high	ant	NA	3960.25	2873.5	F1	F	01	1.2													
1	4	C2	1.2	control	ant	NA	7324.5	5330.5	F2	F	02	1.2													
1	12	C2	1.2	control	ant	NA	9773	6977.75	F3	F	03	1.2													
1	20	C2	1.2	control	ant	NA	9216.25	6671.75	F4	F	04	1.2													
1	1	C2	1.4	low	ant	NA	7509.75	5346	F5	F	05	1.2													
1	9	C2	1.4	low	ant	NA	10434.25	7386	F6	F	06	1.2													
1	17	C2	1.4	low	ant	NA	3121.5	2225	F7	F	07	1.2													
1	25	C2	1.4	low	ant	NA	15423.25	11148.5	F8	F	08	1.2													
1	7	C2	1.6	high	ant	NA	3582.25	2601.5	F9	F	09	1.2													
1	15	C2	1.6	high	ant	NA	2968	2050.25	F10	F	10	1.2													
1	23	C2	1.6	high	ant	NA	1984	1212	F11	F	11	1.2													
1	NA	C2	NA	NA	blank_pbs	NA	113.75	96	F12	F	12	1.2													
1	18	C1	1.5	high	ant	NA	3492.75	2607.25	G1	G	01	1.2													
1	5	C2	1.2	control	ant	NA	29139.5	21451	G2	G	02	1.2													
1	13	C2	1.2	control	ant	NA	6016.5	4368	G3	G	03	1.2													
1	21	C2	1.2	control	ant	NA	31932	22731.5	G4	G	04	1.2													
1	2	C2	1.4	low	ant	NA	7583.25	5574.5	G5	G	05	1.2													
1	10	C2	1.4	low	ant	NA	11948.5	8611.75	G6	G	06	1.2													
1	18	C2	1.4	low	ant	NA	12431.75	8981.5	G7	G	07	1.2													
1	26	C2	1.4	low	ant	NA	7664.5	5581	G8	G	08	1.2													
1	8	C2	1.6	high	ant	NA	3510.5	2625.25	G9	G	09	1.2													
1	16	C2	1.6	high	ant	NA	4807.5	3029.25	G10	G	10	1.2													
1	24	C2	1.6	high	ant	NA	1223.25	641.75	G11	G	11	1.2													
1	NA	C2	NA	NA	blank_pbs	NA	712	395.5	G12	G	12	1.2													
1	19	C1	1.5	high	ant	NA	455.5	371.25	H1	H	01	1.2													
1	6	C2	1.2	control	ant	NA	30729	21757.25	H2	H	02	1.2													
1	14	C2	1.2	control	ant	NA	9318.75	6878.5	H3	H	03	1.2													
1	22	C2	1.2	control	ant	NA	3857	2825.25	H4	H	04	1.2													
1	3	C2	1.4	low	ant	NA	18478	13048.25	H5	H	05	1.2													
1	11	C2	1.4	low	ant	NA	4976.5	3731	H6	H	06	1.2													
1	19	C2	1.4	low	ant	NA	6457.5	4702.75	H7	H	07	1.2													
1	1	C2	1.6	high	ant	NA	5336.5	4003.25	H8	H	08	1.2													
1	9	C2	1.6	high	ant	NA	3049.75	2172.25	H9	H	09	1.2													
1	17	C2	1.6	high	ant	NA	2141	1411.75	H10	H	10	1.2													
1	25	C2	1.6	high	ant	NA	6359.25	3875.5	H11	H	11	1.2													
1	NA	C2	NA	NA	blank_pbs	NA	119.75	133.75	H12	H	12	1.2													
2	1	NA	NA	std_curve	std_curve_second_run_1	5	247004.75	NA	A1	A	01	2.1													
2	2	NA	NA	std_curve	std_curve_second_run_1	2.5	87938	NA	B1	B	01	2.1													
2	3	NA	NA	std_curve	std_curve_second_run_1	1.25	57783.5	NA	C1	C	01	2.1													
2	4	NA	NA	std_curve	std_curve_second_run_1	0.625	37036.25	NA	D1	D	01	2.1													
2	5	NA	NA	std_curve	std_curve_second_run_1	0.3125	13543.75	NA	E1	E	01	2.1													
2	6	NA	NA	std_curve	std_curve_second_run_1	0.15625	7935	NA	F1	F	01	2.1													
2	7	NA	NA	std_curve	std_curve_second_run_1	0.078125	4941.25	NA	G1	G	01	2.1													
2	8	NA	NA	std_curve	std_curve_second_run_1	0.0390625	2707.5	NA	H1	H	01	2.1													
2	1	NA	NA	std_curve	std_curve_second_run_2	5	248901	NA	A2	A	02	2.1													
2	2	NA	NA	std_curve	std_curve_second_run_2	2.5	193481.75	NA	B2	B	02	2.1													
2	3	NA	NA	std_curve	std_curve_second_run_2	1.25	69833.5	NA	C2	C	02	2.1													
2	4	NA	NA	std_curve	std_curve_second_run_2	0.625	40712.5	NA	D2	D	02	2.1													
2	5	NA	NA	std_curve	std_curve_second_run_2	0.3125	30895.5	NA	E2	E	02	2.1													
2	6	NA	NA	std_curve	std_curve_second_run_2	0.15625	16693.5	NA	F2	F	02	2.1													
2	7	NA	NA	std_curve	std_curve_second_run_2	0.078125	5794.75	NA	G2	G	02	2.1													
2	8	NA	NA	std_curve	std_curve_second_run_2	0.0390625	3109.5	NA	H2	H	02	2.1													
2	1	C56	2.1	control	ant	NA	612.75	NA	A3	A	03	2.1													
2	2	C56	2.1	control	ant	NA	1336	NA	B3	B	03	2.1													
2	3	C56	2.1	control	ant	NA	14956.75	NA	C3	C	03	2.1													
2	4	C56	2.1	control	ant	NA	20762.5	NA	D3	D	03	2.1													
2	5	C56	2.1	control	ant	NA	19033.5	NA	E3	E	03	2.1													
2	6	C56	2.1	control	ant	NA	8367	NA	F3	F	03	2.1													
2	7	C56	2.1	control	ant	NA	16955.25	NA	G3	G	03	2.1													
2	8	C56	2.1	control	ant	NA	16475.5	NA	H3	H	03	2.1													
2	9	C56	2.1	control	ant	NA	12689	NA	A4	A	04	2.1													
2	10	C56	2.1	control	ant	NA	9384.75	NA	B4	B	04	2.1													
2	11	C56	2.1	control	ant	NA	26826	NA	C4	C	04	2.1													
2	12	C56	2.1	control	ant	NA	20740.75	NA	D4	D	04	2.1													
2	13	C56	2.1	control	ant	NA	19019.75	NA	E4	E	04	2.1													
2	14	C56	2.1	control	ant	NA	15593.25	NA	F4	F	04	2.1													
2	15	C56	2.1	control	ant	NA	739	NA	G4	G	04	2.1													
2	16	C56	2.1	control	ant	NA	5596.25	NA	H4	H	04	2.1													
2	17	C56	2.1	control	ant	NA	8588.75	NA	A5	A	05	2.1													
2	18	C56	2.1	control	ant	NA	6150	NA	B5	B	05	2.1													
2	19	C56	2.1	control	ant	NA	4118.75	NA	C5	C	05	2.1													
2	1	C56	2.2	low	ant	NA	15272	NA	D5	D	05	2.1													
2	2	C56	2.2	low	ant	NA	9769	NA	E5	E	05	2.1													
2	3	C56	2.2	low	ant	NA	15257.5	NA	F5	F	05	2.1													
2	4	C56	2.2	low	ant	NA	11389.75	NA	G5	G	05	2.1													
2	5	C56	2.2	low	ant	NA	689.5	NA	H5	H	05	2.1													
2	6	C56	2.2	low	ant	NA	2227	NA	A6	A	06	2.1													
2	7	C56	2.2	low	ant	NA	9924.5	NA	B6	B	06	2.1													
2	8	C56	2.2	low	ant	NA	1245	NA	C6	C	06	2.1													
2	9	C56	2.2	low	ant	NA	10301.25	NA	D6	D	06	2.1													
2	10	C56	2.2	low	ant	NA	13507	NA	E6	E	06	2.1													
2	11	C56	2.2	low	ant	NA	17054.5	NA	F6	F	06	2.1													
2	12	C56	2.2	low	ant	NA	15344.75	NA	G6	G	06	2.1													
2	13	C56	2.2	low	ant	NA	10521.25	NA	H6	H	06	2.1													
2	14	C56	2.2	low	ant	NA	1698.5	NA	A7	A	07	2.1													
2	15	C56	2.2	low	ant	NA	9259.75	NA	B7	B	07	2.1													
2	16	C56	2.2	low	ant	NA	701	NA	C7	C	07	2.1													
2	17	C56	2.2	low	ant	NA	867	NA	D7	D	07	2.1													
2	18	C56	2.2	low	ant	NA	10030.5	NA	E7	E	07	2.1													
2	19	C56	2.2	low	ant	NA	13046.25	NA	F7	F	07	2.1													
2	20	C56	2.2	low	ant	NA	10116	NA	G7	G	07	2.1													
2	21	C56	2.2	low	ant	NA	4789.25	NA	H7	H	07	2.1													
2	1	C56	2.3	mid	ant	NA	16978.5	NA	A8	A	08	2.1													
2	2	C56	2.3	mid	ant	NA	5304.5	NA	B8	B	08	2.1													
2	3	C56	2.3	mid	ant	NA	4217.75	NA	C8	C	08	2.1													
2	4	C56	2.3	mid	ant	NA	12775.25	NA	D8	D	08	2.1													
2	5	C56	2.3	mid	ant	NA	6839.25	NA	E8	E	08	2.1													
2	6	C56	2.3	mid	ant	NA	4335.5	NA	F8	F	08	2.1													
2	7	C56	2.3	mid	ant	NA	21676.5	NA	G8	G	08	2.1													
2	8	C56	2.3	mid	ant	NA	2200.75	NA	H8	H	08	2.1													
2	9	C56	2.3	mid	ant	NA	11927.75	NA	A9	A	09	2.1													
2	10	C56	2.3	mid	ant	NA	4380.75	NA	B9	B	09	2.1													
2	11	C56	2.3	mid	ant	NA	12699.75	NA	C9	C	09	2.1													
2	12	C56	2.3	mid	ant	NA	11399.25	NA	D9	D	09	2.1													
2	13	C56	2.3	mid	ant	NA	11980	NA	E9	E	09	2.1													
2	14	C56	2.3	mid	ant	NA	8183.75	NA	F9	F	09	2.1													
2	15	C56	2.3	mid	ant	NA	1698.5	NA	G9	G	09	2.1													
2	16	C56	2.3	mid	ant	NA	16301.5	NA	H9	H	09	2.1													
2	17	C56	2.3	mid	ant	NA	13010	NA	A10	A	10	2.1													
2	18	C56	2.3	mid	ant	NA	2310.25	NA	B10	B	10	2.1													
2	19	C56	2.3	mid	ant	NA	8783.75	NA	C10	C	10	2.1													
2	20	C56	2.3	mid	ant	NA	520.5	NA	D10	D	10	2.1													
2	21	C56	2.3	mid	ant	NA	7685.5	NA	E10	E	10	2.1													
2	1	C56	2.4	mid	ant	NA	32543.25	NA	F10	F	10	2.1													
2	2	C56	2.4	mid	ant	NA	16327.75	NA	G10	G	10	2.1													
2	3	C56	2.4	mid	ant	NA	4811.5	NA	H10	H	10	2.1													
2	4	C56	2.4	mid	ant	NA	37260	NA	A11	A	11	2.1													
2	5	C56	2.4	mid	ant	NA	7511.75	NA	B11	B	11	2.1													
2	6	C56	2.4	mid	ant	NA	21947.75	NA	C11	C	11	2.1													
2	7	C56	2.4	mid	ant	NA	6334	NA	D11	D	11	2.1													
2	8	C56	2.4	mid	ant	NA	8677.75	NA	E11	E	11	2.1													
2	9	C56	2.4	mid	ant	NA	12272	NA	F11	F	11	2.1													
2	10	C56	2.4	mid	ant	NA	19533	NA	G11	G	11	2.1													
2	11	C56	2.4	mid	ant	NA	1735.25	NA	H11	H	11	2.1													
2	12	C56	2.4	mid	ant	NA	19813.5	NA	A12	A	12	2.1													
2	13	C56	2.4	mid	ant	NA	38302.25	NA	B12	B	12	2.1													
2	14	C56	2.4	mid	ant	NA	30955.75	NA	C12	C	12	2.1													
2	15	C56	2.4	mid	ant	NA	15998	NA	D12	D	12	2.1													
2	16	C56	2.4	mid	ant	NA	5615.25	NA	E12	E	12	2.1													
2	17	C56	2.4	mid	ant	NA	869.75	NA	F12	F	12	2.1													
2	18	C56	2.4	mid	ant	NA	7017.5	NA	G12	G	12	2.1													
2	19	C56	2.4	mid	ant	NA	12117.25	NA	H12	H	12	2.1													
2	1	C56	2.5	high	ant	NA	23545.5	NA	A1	A	01	2.2													
2	2	C56	2.5	high	ant	NA	3662.25	NA	B1	B	01	2.2													
2	3	C56	2.5	high	ant	NA	1356.25	NA	C1	C	01	2.2													
2	4	C56	2.5	high	ant	NA	10869.5	NA	D1	D	01	2.2													
2	5	C56	2.5	high	ant	NA	8203.25	NA	E1	E	01	2.2													
2	6	C56	2.5	high	ant	NA	1433.75	NA	F1	F	01	2.2													
2	7	C56	2.5	high	ant	NA	12764.75	NA	G1	G	01	2.2													
2	8	C56	2.5	high	ant	NA	7703.5	NA	H1	H	01	2.2													
2	9	C56	2.5	high	ant	NA	2484.25	NA	A2	A	02	2.2													
2	10	C56	2.5	high	ant	NA	3755.25	NA	B2	B	02	2.2													
2	11	C56	2.5	high	ant	NA	3023.25	NA	C2	C	02	2.2													
2	12	C56	2.5	high	ant	NA	2598	NA	D2	D	02	2.2													
2	13	C56	2.5	high	ant	NA	14369.25	NA	E2	E	02	2.2													
2	14	C56	2.5	high	ant	NA	8789.75	NA	F2	F	02	2.2													
2	15	C56	2.5	high	ant	NA	4784.25	NA	G2	G	02	2.2													
2	16	C56	2.5	high	ant	NA	953.25	NA	H2	H	02	2.2													
2	17	C56	2.5	high	ant	NA	7665	NA	A3	A	03	2.2													
2	18	C56	2.5	high	ant	NA	921	NA	B3	B	03	2.2													
2	19	C56	2.5	high	ant	NA	2777.75	NA	C3	C	03	2.2													
2	20	C56	2.5	high	ant	NA	7973.75	NA	D3	D	03	2.2													
2	21	C56	2.5	high	ant	NA	1133.5	NA	E3	E	03	2.2													
2	1	C62	2.6	control	ant	NA	12798	NA	F3	F	03	2.2													
2	2	C62	2.6	control	ant	NA	4086.5	NA	G3	G	03	2.2													
2	3	C62	2.6	control	ant	NA	2025.5	NA	H3	H	03	2.2													
2	4	C62	2.6	control	ant	NA	22675.25	NA	A4	A	04	2.2													
2	5	C62	2.6	control	ant	NA	812	NA	B4	B	04	2.2													
2	6	C62	2.6	control	ant	NA	10776.5	NA	C4	C	04	2.2													
2	7	C62	2.6	control	ant	NA	12001.5	NA	D4	D	04	2.2													
2	8	C62	2.6	control	ant	NA	18343.5	NA	E4	E	04	2.2													
2	9	C62	2.6	control	ant	NA	25190	NA	F4	F	04	2.2													
2	10	C62	2.6	control	ant	NA	6420.5	NA	G4	G	04	2.2													
2	11	C62	2.6	control	ant	NA	10063	NA	H4	H	04	2.2													
2	12	C62	2.6	control	ant	NA	9455.5	NA	A5	A	05	2.2													
2	13	C62	2.6	control	ant	NA	10525.25	NA	B5	B	05	2.2													
2	14	C62	2.6	control	ant	NA	15682.25	NA	C5	C	05	2.2													
2	15	C62	2.6	control	ant	NA	8977	NA	D5	D	05	2.2													
2	16	C62	2.6	control	ant	NA	684	NA	E5	E	05	2.2													
2	17	C62	2.6	control	ant	NA	593	NA	F5	F	05	2.2													
2	18	C62	2.6	control	ant	NA	8094.75	NA	G5	G	05	2.2													
2	19	C62	2.6	control	ant	NA	2095	NA	H5	H	05	2.2													
2	20	C62	2.6	control	ant	NA	581.75	NA	A6	A	06	2.2													
2	21	C62	2.6	control	ant	NA	600.75	NA	B6	B	06	2.2													
2	1	C62	2.7	low	ant	NA	22697	NA	C6	C	06	2.2													
2	2	C62	2.7	low	ant	NA	23473.5	NA	D6	D	06	2.2													
2	3	C62	2.7	low	ant	NA	15106	NA	E6	E	06	2.2													
2	4	C62	2.7	low	ant	NA	8618.75	NA	F6	F	06	2.2													
2	5	C62	2.7	low	ant	NA	22551.75	NA	G6	G	06	2.2													
2	6	C62	2.7	low	ant	NA	10588.5	NA	H6	H	06	2.2													
2	7	C62	2.7	low	ant	NA	12235.75	NA	A7	A	07	2.2													
2	8	C62	2.7	low	ant	NA	8248.75	NA	B7	B	07	2.2													
2	9	C62	2.7	low	ant	NA	13511.75	NA	C7	C	07	2.2													
2	10	C62	2.7	low	ant	NA	15299.75	NA	D7	D	07	2.2													
