Observation_id,Observation_date,Trial,Media_file,Total_length,FPS,Subject,Behavior,Modifiers,Behavior_type,Start_(s),Stop_(s),Duration_(s),Comment_start,Replicate
REPLICATE 17 TRIAL 11,09/08/2022,"10, S","Q:/Rachael/replicate 17 (08-08, 09-08)/200117.MTS",1208.42,50,ANT 9,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,1163.149,1163.149,NA,IN CONTACT WITH ORANGE (7),17
REPLICATE 22 TRIAL 4,17/08/2022,"10, S","Q:/Rachael/replicate 22 (16-08, 17-08)/00115.MTS",1214.66,50,ANT 9,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,896.897,896.897,NA,IN CONTACT WITH ORANGE (7),22
REPLICATE 22 TRIAL 4,17/08/2022,"10, S","Q:/Rachael/replicate 22 (16-08, 17-08)/00115.MTS",1214.66,50,ANT 9,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,897.255,897.255,NA,IN CONTACT WITH ORANGE (7),22
REPLICATE 22 TRIAL 4,17/08/2022,"10, S","Q:/Rachael/replicate 22 (16-08, 17-08)/00115.MTS",1214.66,50,ANT 9,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,955.396,955.396,NA,IN CONTACT WITH ORANGE (7),22
REPLICATE 22 TRIAL 4,17/08/2022,"10, S","Q:/Rachael/replicate 22 (16-08, 17-08)/00115.MTS",1214.66,50,ANT 9,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,956.387,956.387,NA,IN CONTACT WITH ORANGE (7),22
REPLICATE 22 TRIAL 4,17/08/2022,"10, S","Q:/Rachael/replicate 22 (16-08, 17-08)/00115.MTS",1214.66,50,ANT 9,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,995.086,995.086,NA,IN CONTACT WITH ORANGE (7),22
REPLICATE 22 TRIAL 4,17/08/2022,"10, S","Q:/Rachael/replicate 22 (16-08, 17-08)/00115.MTS",1214.66,50,ANT 9,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,1003.187,1003.187,NA,IN CONTACT WITH ORANGE (7),22
REPLICATE 22 TRIAL 4,17/08/2022,"10, S","Q:/Rachael/replicate 22 (16-08, 17-08)/00115.MTS",1214.66,50,ANT 9,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,1004.431,1004.431,NA,IN CONTACT WITH ORANGE (7),22
REPLICATE 22 TRIAL 4,17/08/2022,"10, S","Q:/Rachael/replicate 22 (16-08, 17-08)/00115.MTS",1214.66,50,ANT 9,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,1019.033,1019.033,NA,IN CONTACT WITH ORANGE (7),22
REPLICATE 22 TRIAL 4,17/08/2022,"10, S","Q:/Rachael/replicate 22 (16-08, 17-08)/00115.MTS",1214.66,50,ANT 9,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,1022.004,1022.004,NA,IN CONTACT WITH ORANGE (7),22
REPLICATE 22 TRIAL 4,17/08/2022,"10, S","Q:/Rachael/replicate 22 (16-08, 17-08)/00115.MTS",1214.66,50,ANT 9,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,1101.113,1101.113,NA,IN CONTACT WITH RED/YELLOW (11),22
REPLICATE 22 TRIAL 4,17/08/2022,"10, S","Q:/Rachael/replicate 22 (16-08, 17-08)/00115.MTS",1214.66,50,ANT 9,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,1102.281,1102.281,NA,IN CONTACT WITH RED/YELLOW (11),22
REPLICATE 22 TRIAL 4,17/08/2022,"10, S","Q:/Rachael/replicate 22 (16-08, 17-08)/00115.MTS",1214.66,50,ANT 9,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,1034.062,1034.062,NA,IN CONTACT WITH WHITE (5),22
REPLICATE 22 TRIAL 4,17/08/2022,"10, S","Q:/Rachael/replicate 22 (16-08, 17-08)/00115.MTS",1214.66,50,ANT 9,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,1045.854,1045.854,NA,IN CONTACT WITH WHITE (5),22
REPLICATE 22 TRIAL 4,17/08/2022,"10, S","Q:/Rachael/replicate 22 (16-08, 17-08)/00115.MTS",1214.66,50,ANT 9,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,1049.361,1049.361,NA,IN CONTACT WITH WHITE (5),22
REPLICATE 4 TRIAL 10,23/02/2022,"10, S","Q:/Rachael/replicate 4 (22-02, 23-02)/00024.2.MTS",1211.3,50,ANT 9,T,"large twitch,single twitch,isolated twitch/alone,near brood",POINT,305.746,305.746,NA,,4
REPLICATE 22 TRIAL 4,17/08/2022,"10, S","Q:/Rachael/replicate 22 (16-08, 17-08)/00115.MTS",1214.66,50,ANT 9,T,"large twitch,single twitch,isolated twitch/alone,near brood",POINT,1069.793,1069.793,NA,,22
REPLICATE 18 TRIAL 9,10/08/2022,"10, S","Q:/Rachael/replicate 18 (09-08, 10-08)/200108.MTS",1208.42,50,ANT 9,T,"Small twitch,single twitch,in contact with nestmate,away from brood",POINT,715.225,715.225,NA,IN CONTACT WITH WHITE (5),18
REPLICATE 6 TRIAL 7,25/02/2022,"10, S","Q:/Rachael/replicate 6 (24-02, 25-02)/00031.2.MTS",1209.38,50,ANT 9,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,765.146,765.146,NA,IN CONTACT WITH PINK (6),6
REPLICATE 18 TRIAL 9,10/08/2022,"10, S","Q:/Rachael/replicate 18 (09-08, 10-08)/200108.MTS",1208.42,50,ANT 9,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,749.779,749.779,NA,"IN CONTACT WITH BLUE (FOCAL, 1)",18
REPLICATE 19 TRIAL 5,11/08/2022,"10, S","Q:/Rachael/replicate 19 (10-08, 11-08)/00120.MTS",1206.5,50,ANT 9,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,925.278,925.278,NA,IN CONTACT WITH GREEN/YELLOW (11),19
REPLICATE 22 TRIAL 4,17/08/2022,"10, S","Q:/Rachael/replicate 22 (16-08, 17-08)/00115.MTS",1214.66,50,ANT 9,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,949.634,949.634,NA,IN CONTACT WITH ORANGE (7),22
REPLICATE 22 TRIAL 4,17/08/2022,"10, S","Q:/Rachael/replicate 22 (16-08, 17-08)/00115.MTS",1214.66,50,ANT 9,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,1024.975,1024.975,NA,IN CONTACT WITH ORANGE (7),22
REPLICATE 22 TRIAL 4,17/08/2022,"10, S","Q:/Rachael/replicate 22 (16-08, 17-08)/00114.MTS",1214.66,50,ANT 9,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,42.724,42.724,NA,IN CONTACT WITH PINK (6),22
REPLICATE 22 TRIAL 4,17/08/2022,"10, S","Q:/Rachael/replicate 22 (16-08, 17-08)/00115.MTS",1214.66,50,ANT 9,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,1127.751,1127.751,NA,IN CONTACT WITH RED/YELLOW (11),22
REPLICATE 22 TRIAL 4,17/08/2022,"10, S","Q:/Rachael/replicate 22 (16-08, 17-08)/00115.MTS",1214.66,50,ANT 9,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,1038.833,1038.833,NA,IN CONTACT WITH WHITE (5),22
REPLICATE 22 TRIAL 4,17/08/2022,"10, S","Q:/Rachael/replicate 22 (16-08, 17-08)/00114.MTS",1214.66,50,ANT 9,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,379.846,379.846,NA,IN CONTACT WITH YELLOW (3),22
REPLICATE 4 TRIAL 10,23/02/2022,"10, S","Q:/Rachael/replicate 4 (22-02, 23-02)/00025.2.MTS",1211.3,50,ANT 9,T,"Small twitch,single twitch,isolated twitch/alone,near brood",POINT,984.225,984.225,NA,,4
REPLICATE 18 TRIAL 4,10/08/2022,"10, C","Q:/Rachael/replicate 18 (09-08, 10-08)/00114.MTS",1206.02,50,ANT 8,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,386.957,386.957,NA,IN CONTACT WITH GREEN/YELLOW (11),18
REPLICATE 18 TRIAL 4,10/08/2022,"10, C","Q:/Rachael/replicate 18 (09-08, 10-08)/00114.MTS",1206.02,50,ANT 8,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,47.311,47.311,NA,IN CONTACT WITH PINK (6),18
REPLICATE 18 TRIAL 4,10/08/2022,"10, C","Q:/Rachael/replicate 18 (09-08, 10-08)/00114.MTS",1206.02,50,ANT 8,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,48.12,48.12,NA,IN CONTACT WITH PINK (6),18
REPLICATE 18 TRIAL 4,10/08/2022,"10, C","Q:/Rachael/replicate 18 (09-08, 10-08)/00114.MTS",1206.02,50,ANT 8,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,48.66,48.66,NA,IN CONTACT WITH PINK (6),18
REPLICATE 18 TRIAL 4,10/08/2022,"10, C","Q:/Rachael/replicate 18 (09-08, 10-08)/00114.MTS",1206.02,50,ANT 8,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,45.961,45.961,NA,IN CONTACT WITH YELLOW (3),18
REPLICATE 18 TRIAL 4,10/08/2022,"10, C","Q:/Rachael/replicate 18 (09-08, 10-08)/00114.MTS",1206.02,50,ANT 8,T,"large twitch,single twitch,isolated twitch/alone,near brood",POINT,59.999,59.999,NA,,18
REPLICATE 1 TRIAL 6,17/02/2022,"10, C","Q:/Rachael/replicate 1 (16-02, 17-02)/00021.MTS",1211.29,25,ANT 8,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,14.659,14.659,NA,IN CONTACT WITH GREEN (4),1
REPLICATE 18 TRIAL 4,10/08/2022,"10, C","Q:/Rachael/replicate 18 (09-08, 10-08)/00114.MTS",1206.02,50,ANT 8,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,370.938,370.938,NA,IN CONTACT WITH GREEN/YELLOW (11),18
REPLICATE 18 TRIAL 4,10/08/2022,"10, C","Q:/Rachael/replicate 18 (09-08, 10-08)/00114.MTS",1206.02,50,ANT 8,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,381.467,381.467,NA,IN CONTACT WITH GREEN/YELLOW (11),18
REPLICATE 18 TRIAL 4,10/08/2022,"10, C","Q:/Rachael/replicate 18 (09-08, 10-08)/00114.MTS",1206.02,50,ANT 8,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,32.553,32.553,NA,IN CONTACT WITH YELLOW (3),18
REPLICATE 18 TRIAL 4,10/08/2022,"10, C","Q:/Rachael/replicate 18 (09-08, 10-08)/00114.MTS",1206.02,50,ANT 8,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,32.824,32.824,NA,IN CONTACT WITH YELLOW (3),18
REPLICATE 18 TRIAL 4,10/08/2022,"10, C","Q:/Rachael/replicate 18 (09-08, 10-08)/00114.MTS",1206.02,50,ANT 8,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,34.893,34.893,NA,IN CONTACT WITH YELLOW (3),18
REPLICATE 18 TRIAL 4,10/08/2022,"10, C","Q:/Rachael/replicate 18 (09-08, 10-08)/00114.MTS",1206.02,50,ANT 8,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,36.064,36.064,NA,IN CONTACT WITH YELLOW (3),18
REPLICATE 18 TRIAL 4,10/08/2022,"10, C","Q:/Rachael/replicate 18 (09-08, 10-08)/00114.MTS",1206.02,50,ANT 8,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,37.413,37.413,NA,IN CONTACT WITH YELLOW (3),18
REPLICATE 1 TRIAL 6,17/02/2022,"10, C","Q:/Rachael/replicate 1 (16-02, 17-02)/00021.MTS",1211.29,25,ANT 8,T,"Small twitch,single twitch,isolated twitch/alone,near brood",POINT,132.142,132.142,NA,,1
REPLICATE 1 TRIAL 6,17/02/2022,"10, C","Q:/Rachael/replicate 1 (16-02, 17-02)/00021.MTS",1211.29,25,ANT 8,T,"Small twitch,single twitch,isolated twitch/alone,near brood",POINT,445.616,445.616,NA,,1
REPLICATE 1 TRIAL 6,17/02/2022,"10, C","Q:/Rachael/replicate 1 (16-02, 17-02)/00021.MTS",1211.29,25,ANT 8,T,"Small twitch,single twitch,isolated twitch/alone,near brood",POINT,525.55,525.55,NA,,1
REPLICATE 8 TRIAL 11,02/03/2022,"10, P","Q:/Rachael/replicate 8 (01-03, 02-03)/00052.2.MTS",1209.86,50,ANT 8,T,"large twitch,part of a repetitive set,in contact with nestmate,near brood",POINT,1140.444,1140.444,NA,IN CONTACT WITH PINK (6),8
REPLICATE 8 TRIAL 11,02/03/2022,"10, P","Q:/Rachael/replicate 8 (01-03, 02-03)/00052.2.MTS",1209.86,50,ANT 8,T,"large twitch,part of a repetitive set,in contact with nestmate,near brood",POINT,1141.615,1141.615,NA,IN CONTACT WITH PINK (6),8
REPLICATE 8 TRIAL 11,02/03/2022,"10, P","Q:/Rachael/replicate 8 (01-03, 02-03)/00052.2.MTS",1209.86,50,ANT 8,T,"large twitch,part of a repetitive set,in contact with nestmate,near brood",POINT,1142.246,1142.246,NA,IN CONTACT WITH PINK (6),8
REPLICATE 18 TRIAL 3,10/08/2022,"10, P","Q:/Rachael/replicate 18 (09-08, 10-08)/00112.MTS",1212.74,50,ANT 8,T,"large twitch,single twitch,in contact with nestmate,away from brood",POINT,300.265,300.265,NA,IN CONTACT WITH YELLOW (3),18
REPLICATE 2 TRIAL 8,18/02/2022,"10, P","Q:/Rachael/replicate 2 (17-02, 18-02)/00007.2.MTS",1218.02,50,ANT 8,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,520.805,520.805,NA,IN CONTACT WITH PINK (6),2
REPLICATE 2 TRIAL 8,18/02/2022,"10, P","Q:/Rachael/replicate 2 (17-02, 18-02)/00008.2.MTS",1218.02,50,ANT 8,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,990.465,990.465,NA,IN CONTACT WITH ORANGE (7),2
REPLICATE 8 TRIAL 11,02/03/2022,"10, P","Q:/Rachael/replicate 8 (01-03, 02-03)/00051.2.MTS",1209.86,50,ANT 8,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,172.926,172.926,NA,IN CONTACT WITH ORANGE (7),8
REPLICATE 8 TRIAL 11,02/03/2022,"10, P","Q:/Rachael/replicate 8 (01-03, 02-03)/00052.2.MTS",1209.86,50,ANT 8,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,723.781,723.781,NA,IN CONTACT WITH GREEN (4),8
REPLICATE 12 TRIAL 2,09/03/2022,"10, P","Q:/Rachael/replicate 12 (08-03, 09-03)/00065.MTS",1204.58,50,ANT 8,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,760.41,760.41,NA,IN CONTACT WITH ORANGE (7),12
REPLICATE 12 TRIAL 2,09/03/2022,"10, P","Q:/Rachael/replicate 12 (08-03, 09-03)/00065.MTS",1204.58,50,ANT 8,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,762.569,762.569,NA,IN CONTACT WITH ORANGE (7),12
REPLICATE 12 TRIAL 2,09/03/2022,"10, P","Q:/Rachael/replicate 12 (08-03, 09-03)/00065.MTS",1204.58,50,ANT 8,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,765.266,765.266,NA,IN CONTACT WITH ORANGE (7),12
REPLICATE 12 TRIAL 2,09/03/2022,"10, P","Q:/Rachael/replicate 12 (08-03, 09-03)/00065.MTS",1204.58,50,ANT 8,T,"large twitch,single twitch,in contact with nestmate,near brood",POINT,766.079,766.079,NA,IN CONTACT WITH ORANGE (7),12
REPLICATE 1 TRIAL 5,17/02/2022,"10, P","Q:/Rachael/replicate 1 (16-02, 17-02)/00019.MTS",1215.99,25,ANT 8,T,"large twitch,single twitch,isolated twitch/alone,near brood",POINT,70.744,70.744,NA,,1
REPLICATE 1 TRIAL 5,17/02/2022,"10, P","Q:/Rachael/replicate 1 (16-02, 17-02)/00019.MTS",1215.99,25,ANT 8,T,"large twitch,single twitch,isolated twitch/alone,near brood",POINT,402.571,402.571,NA,,1
REPLICATE 18 TRIAL 3,10/08/2022,"10, P","Q:/Rachael/replicate 18 (09-08, 10-08)/00112.MTS",1212.74,50,ANT 8,T,"large twitch,single twitch,isolated twitch/alone,near brood",POINT,77.098,77.098,NA,,18
REPLICATE 18 TRIAL 3,10/08/2022,"10, P","Q:/Rachael/replicate 18 (09-08, 10-08)/00112.MTS",1212.74,50,ANT 8,T,"large twitch,single twitch,isolated twitch/alone,near brood",POINT,78.808,78.808,NA,,18
REPLICATE 18 TRIAL 3,10/08/2022,"10, P","Q:/Rachael/replicate 18 (09-08, 10-08)/00112.MTS",1212.74,50,ANT 8,T,"large twitch,single twitch,isolated twitch/alone,near brood",POINT,79.17,79.17,NA,,18
REPLICATE 18 TRIAL 3,10/08/2022,"10, P","Q:/Rachael/replicate 18 (09-08, 10-08)/00112.MTS",1212.74,50,ANT 8,T,"large twitch,single twitch,isolated twitch/alone,near brood",POINT,328.975,328.975,NA,,18
REPLICATE 18 TRIAL 3,10/08/2022,"10, P","Q:/Rachael/replicate 18 (09-08, 10-08)/00112.MTS",1212.74,50,ANT 8,T,"large twitch,single twitch,isolated twitch/alone,near brood",POINT,373.795,373.795,NA,,18
REPLICATE 8 TRIAL 11,02/03/2022,"10, P","Q:/Rachael/replicate 8 (01-03, 02-03)/00051.2.MTS",1209.86,50,ANT 8,T,"large twitch,single twitch,isolated twitch/alone,on brood",POINT,54.872,54.872,NA,,8
REPLICATE 8 TRIAL 11,02/03/2022,"10, P","Q:/Rachael/replicate 8 (01-03, 02-03)/00051.2.MTS",1209.86,50,ANT 8,T,"large twitch,single twitch,isolated twitch/alone,on brood",POINT,56.311,56.311,NA,,8
REPLICATE 18 TRIAL 3,10/08/2022,"10, P","Q:/Rachael/replicate 18 (09-08, 10-08)/00112.MTS",1212.74,50,ANT 8,T,"Small twitch,single twitch,isolated twitch/alone,away from brood",POINT,503.547,503.547,NA,,18
REPLICATE 8 TRIAL 11,02/03/2022,"10, P","Q:/Rachael/replicate 8 (01-03, 02-03)/00051.2.MTS",1209.86,50,ANT 8,T,"Small twitch,part of a repetitive set,in contact with nestmate,near brood",POINT,33.185,33.185,NA,IN CONTACT WITH PINK (6),8
REPLICATE 8 TRIAL 11,02/03/2022,"10, P","Q:/Rachael/replicate 8 (01-03, 02-03)/00051.2.MTS",1209.86,50,ANT 8,T,"Small twitch,part of a repetitive set,in contact with nestmate,on brood",POINT,33.096,33.096,NA,IN CONTACT WITH PINK (6),8
REPLICATE 8 TRIAL 11,02/03/2022,"10, P","Q:/Rachael/replicate 8 (01-03, 02-03)/00051.2.MTS",1209.86,50,ANT 8,T,"Small twitch,single twitch,in contact with multiple nestmates,on brood",POINT,56.22,56.22,NA,IN CONTACT WITH YELLOW (3) AND PINK (6),8
REPLICATE 18 TRIAL 3,10/08/2022,"10, P","Q:/Rachael/replicate 18 (09-08, 10-08)/00112.MTS",1212.74,50,ANT 8,T,"Small twitch,single twitch,in contact with nestmate,away from brood",POINT,283.886,283.886,NA,IN CONTACT WITH YELLOW (3),18
REPLICATE 1 TRIAL 5,17/02/2022,"10, P","Q:/Rachael/replicate 1 (16-02, 17-02)/00019.MTS",1215.99,25,ANT 8,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,36.62,36.62,NA,IN CONTACT WITH GREEN (4),1
REPLICATE 1 TRIAL 5,17/02/2022,"10, P","Q:/Rachael/replicate 1 (16-02, 17-02)/00019.MTS",1215.99,25,ANT 8,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,75.955,75.955,NA,IN CONTACT WITH ORANGE (7),1
REPLICATE 8 TRIAL 11,02/03/2022,"10, P","Q:/Rachael/replicate 8 (01-03, 02-03)/00051.2.MTS",1209.86,50,ANT 8,T,"Small twitch,single twitch,in contact with nestmate,near brood",POINT,37.776,37.776,NA,IN CONTACT WITH PINK (6),8
