sequence	number 	id 	treatment_1	treatment_2	treat	day	collection_date	days_since_collection	date	queen	eggs	larva	pupae	adults	active	position	measurement_y2	weight_queen	weight_20adults	final	virus_feeding	year	survivial 
21	21	L1V	low	virus	4	1	30.06.2016	43	12.08.2016	1	3	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
22	22	L2V	low	virus	4	1	30.06.2016	43	12.08.2016	1	3	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
23	23	L3C	low	control	3	1	30.06.2016	43	12.08.2016	1	10	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
24	24	L4C	low	control	3	1	30.06.2016	43	12.08.2016	1	6	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
25	25	L5V	low	virus	4	1	30.06.2016	43	12.08.2016	1	1	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
26	26	L6C	low	control	3	1	30.06.2016	43	12.08.2016	1	7	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
27	27	L7C	low	control	3	1	30.06.2016	43	12.08.2016	1	5	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
28	28	L8C	low	control	3	1	30.06.2016	43	12.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
29	29	L9V	low	virus	4	1	30.06.2016	43	12.08.2016	1	5	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
30	30	L10V	low	virus	4	1	30.06.2016	43	12.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
31	31	L11C	low	control	3	1	30.06.2016	43	12.08.2016	1	7	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
32	32	L12V	low	virus	4	1	30.06.2016	43	12.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
33	33	L13V	low	virus	4	1	30.06.2016	43	12.08.2016	1	5	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
34	34	L14C	low	control	3	1	30.06.2016	43	12.08.2016	1	6	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
35	35	L15V	low	virus	4	1	30.06.2016	43	12.08.2016	1	10	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
36	36	L16V	low	virus	4	1	30.06.2016	43	12.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
37	37	L17C	low	control	3	1	30.06.2016	43	12.08.2016	1	12	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
38	38	L18C	low	control	3	1	30.06.2016	43	12.08.2016	1	7	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
39	39	L19C	low	control	3	1	30.06.2016	43	12.08.2016	1	6	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
40	40	L20V	low	virus	4	1	30.06.2016	43	12.08.2016	1	6	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
41	41	H1V	high	virus	6	1	30.06.2016	43	12.08.2016	1	3	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
42	42	H2C	high	control	5	1	30.06.2016	43	12.08.2016	1	4	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
43	43	H3V	high	virus	6	1	30.06.2016	43	12.08.2016	1	7	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
44	44	H4C	high	control	5	1	30.06.2016	43	12.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
45	45	H5V	high	virus	6	1	30.06.2016	43	12.08.2016	1	2	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
46	46	H6C	high	control	5	1	30.06.2016	43	12.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
47	47	H7C	high	control	5	1	30.06.2016	43	12.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
48	48	H8V	high	virus	6	1	30.06.2016	43	12.08.2016	1	6	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
49	49	H9V	high	virus	6	1	30.06.2016	43	12.08.2016	1	7	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
50	50	H10C	high	control	5	1	30.06.2016	43	12.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
51	51	H11V	high	virus	6	1	30.06.2016	43	12.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
52	52	H12C	high	control	5	1	30.06.2016	43	12.08.2016	1	2	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
53	53	H13V	high	virus	6	1	30.06.2016	43	12.08.2016	1	2	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
54	54	H14C	high	control	5	1	30.06.2016	43	12.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
55	55	H15V	high	virus	6	1	30.06.2016	43	12.08.2016	1	4	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
56	56	H16C	high	control	5	1	30.06.2016	43	12.08.2016	1	9	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
57	57	H17V	high	virus	6	1	30.06.2016	43	12.08.2016	1	6	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
58	58	H18V	high	virus	6	1	30.06.2016	43	12.08.2016	1	1	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
59	59	H19C	high	control	5	1	30.06.2016	43	12.08.2016	1	3	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
60	60	H20C	high	control	5	1	30.06.2016	43	12.08.2016	1	2	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
61	1	C1V	control	virus	2	2	30.06.2016	44	13.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
62	2	C2C	control	control	1	2	30.06.2016	44	13.08.2016	1	8	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
63	3	C3C	control	control	1	2	30.06.2016	44	13.08.2016	1	7	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
64	4	C4V	control	virus	2	2	30.06.2016	44	13.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
65	5	C5V	control	virus	2	2	30.06.2016	44	13.08.2016	1	2	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
66	6	C6C	control	control	1	2	30.06.2016	44	13.08.2016	1	1	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
67	7	C7C	control	control	1	2	30.06.2016	44	13.08.2016	1	12	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
68	8	C8V	control	virus	2	2	30.06.2016	44	13.08.2016	1	6	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
69	9	C9C	control	control	1	2	30.06.2016	44	13.08.2016	1	2	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
70	10	C10C	control	control	1	2	30.06.2016	44	13.08.2016	1	9	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
71	11	C11V	control	virus	2	2	30.06.2016	44	13.08.2016	1	7	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
72	12	C12C	control	control	1	2	30.06.2016	44	13.08.2016	1	5	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
73	13	C13V	control	virus	2	2	30.06.2016	44	13.08.2016	1	9	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
74	14	C14C	control	control	1	2	30.06.2016	44	13.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
75	15	C15V	control	virus	2	2	30.06.2016	44	13.08.2016	1	8	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
76	16	C16V	control	virus	2	2	30.06.2016	44	13.08.2016	1	2	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
77	17	C17V	control	virus	2	2	30.06.2016	44	13.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
78	18	C18V	control	virus	2	2	30.06.2016	44	13.08.2016	1	15	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
79	19	C19C	control	control	1	2	30.06.2016	44	13.08.2016	1	8	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
80	20	C20C	control	control	1	2	30.06.2016	44	13.08.2016	1	6	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
81	21	L1V	low	virus	4	2	30.06.2016	44	13.08.2016	1	3	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
82	22	L2V	low	virus	4	2	30.06.2016	44	13.08.2016	1	10	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
83	23	L3C	low	control	3	2	30.06.2016	44	13.08.2016	1	12	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
84	24	L4C	low	control	3	2	30.06.2016	44	13.08.2016	1	8	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
85	25	L5V	low	virus	4	2	30.06.2016	44	13.08.2016	1	8	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
86	26	L6C	low	control	3	2	30.06.2016	44	13.08.2016	1	10	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
87	27	L7C	low	control	3	2	30.06.2016	44	13.08.2016	1	6	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
88	28	L8C	low	control	3	2	30.06.2016	44	13.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
89	29	L9V	low	virus	4	2	30.06.2016	44	13.08.2016	1	8	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
90	30	L10V	low	virus	4	2	30.06.2016	44	13.08.2016	1	5	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
91	31	L11C	low	control	3	2	30.06.2016	44	13.08.2016	1	11	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
92	32	L12V	low	virus	4	2	30.06.2016	44	13.08.2016	1	6	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
93	33	L13V	low	virus	4	2	30.06.2016	44	13.08.2016	1	6	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
94	34	L14C	low	control	3	2	30.06.2016	44	13.08.2016	1	9	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
95	35	L15V	low	virus	4	2	30.06.2016	44	13.08.2016	1	13	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
96	36	L16V	low	virus	4	2	30.06.2016	44	13.08.2016	1	10	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
97	37	L17C	low	control	3	2	30.06.2016	44	13.08.2016	1	15	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
98	38	L18C	low	control	3	2	30.06.2016	44	13.08.2016	1	9	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
99	39	L19C	low	control	3	2	30.06.2016	44	13.08.2016	1	8	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
100	40	L20V	low	virus	4	2	30.06.2016	44	13.08.2016	1	7	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
101	41	H1V	high	virus	6	2	30.06.2016	44	13.08.2016	1	5	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
102	42	H2C	high	control	5	2	30.06.2016	44	13.08.2016	1	6	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
103	43	H3V	high	virus	6	2	30.06.2016	44	13.08.2016	1	11	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
104	44	H4C	high	control	5	2	30.06.2016	44	13.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
105	45	H5V	high	virus	6	2	30.06.2016	44	13.08.2016	1	4	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
106	46	H6C	high	control	5	2	30.06.2016	44	13.08.2016	1	5	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
107	47	H7C	high	control	5	2	30.06.2016	44	13.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
108	48	H8V	high	virus	6	2	30.06.2016	44	13.08.2016	1	8	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
109	49	H9V	high	virus	6	2	30.06.2016	44	13.08.2016	1	7	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
110	50	H10C	high	control	5	2	30.06.2016	44	13.08.2016	1	5	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
111	51	H11V	high	virus	6	2	30.06.2016	44	13.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
112	52	H12C	high	control	5	2	30.06.2016	44	13.08.2016	1	6	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
113	53	H13V	high	virus	6	2	30.06.2016	44	13.08.2016	1	2	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
114	54	H14C	high	control	5	2	30.06.2016	44	13.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
115	55	H15V	high	virus	6	2	30.06.2016	44	13.08.2016	1	7	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
116	56	H16C	high	control	5	2	30.06.2016	44	13.08.2016	1	9	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
117	57	H17V	high	virus	6	2	30.06.2016	44	13.08.2016	1	8	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
118	58	H18V	high	virus	6	2	30.06.2016	44	13.08.2016	1	2	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
119	59	H19C	high	control	5	2	30.06.2016	44	13.08.2016	1	3	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
120	60	H20C	high	control	5	2	30.06.2016	44	13.08.2016	1	4	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
121	1	C1V	control	virus	2	3	30.06.2016	45	14.08.2016	1	6	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
122	2	C2C	control	control	1	3	30.06.2016	45	14.08.2016	1	27	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
123	3	C3C	control	control	1	3	30.06.2016	45	14.08.2016	1	7	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
124	4	C4V	control	virus	2	3	30.06.2016	45	14.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
125	5	C5V	control	virus	2	3	30.06.2016	45	14.08.2016	1	6	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
126	6	C6C	control	control	1	3	30.06.2016	45	14.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
127	7	C7C	control	control	1	3	30.06.2016	45	14.08.2016	1	17	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
128	8	C8V	control	virus	2	3	30.06.2016	45	14.08.2016	1	16	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
129	9	C9C	control	control	1	3	30.06.2016	45	14.08.2016	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	no	no	1	0
130	10	C10C	control	control	1	3	30.06.2016	45	14.08.2016	1	14	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
131	11	C11V	control	virus	2	3	30.06.2016	45	14.08.2016	1	9	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
132	12	C12C	control	control	1	3	30.06.2016	45	14.08.2016	1	9	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
133	13	C13V	control	virus	2	3	30.06.2016	45	14.08.2016	1	14	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
134	14	C14C	control	control	1	3	30.06.2016	45	14.08.2016	1	5	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
135	15	C15V	control	virus	2	3	30.06.2016	45	14.08.2016	1	13	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
136	16	C16V	control	virus	2	3	30.06.2016	45	14.08.2016	1	7	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
137	17	C17V	control	virus	2	3	30.06.2016	45	14.08.2016	1	3	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
138	18	C18V	control	virus	2	3	30.06.2016	45	14.08.2016	1	24	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
139	19	C19C	control	control	1	3	30.06.2016	45	14.08.2016	1	11	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
140	20	C20C	control	control	1	3	30.06.2016	45	14.08.2016	1	10	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
141	21	L1V	low	virus	4	3	30.06.2016	45	14.08.2016	1	6	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
142	22	L2V	low	virus	4	3	30.06.2016	45	14.08.2016	1	12	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
143	23	L3C	low	control	3	3	30.06.2016	45	14.08.2016	1	18	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
144	24	L4C	low	control	3	3	30.06.2016	45	14.08.2016	1	10	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
145	25	L5V	low	virus	4	3	30.06.2016	45	14.08.2016	1	14	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
146	26	L6C	low	control	3	3	30.06.2016	45	14.08.2016	1	13	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
147	27	L7C	low	control	3	3	30.06.2016	45	14.08.2016	1	9	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
148	28	L8C	low	control	3	3	30.06.2016	45	14.08.2016	1	4	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
149	29	L9V	low	virus	4	3	30.06.2016	45	14.08.2016	1	8	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
150	30	L10V	low	virus	4	3	30.06.2016	45	14.08.2016	1	7	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
151	31	L11C	low	control	3	3	30.06.2016	45	14.08.2016	1	18	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
152	32	L12V	low	virus	4	3	30.06.2016	45	14.08.2016	1	8	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
153	33	L13V	low	virus	4	3	30.06.2016	45	14.08.2016	1	11	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
154	34	L14C	low	control	3	3	30.06.2016	45	14.08.2016	1	11	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
155	35	L15V	low	virus	4	3	30.06.2016	45	14.08.2016	1	13	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
156	36	L16V	low	virus	4	3	30.06.2016	45	14.08.2016	1	12	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
157	37	L17C	low	control	3	3	30.06.2016	45	14.08.2016	1	23	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
158	38	L18C	low	control	3	3	30.06.2016	45	14.08.2016	1	16	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
159	39	L19C	low	control	3	3	30.06.2016	45	14.08.2016	1	20	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
160	40	L20V	low	virus	4	3	30.06.2016	45	14.08.2016	1	10	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
161	41	H1V	high	virus	6	3	30.06.2016	45	14.08.2016	1	7	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
162	42	H2C	high	control	5	3	30.06.2016	45	14.08.2016	1	14	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
163	43	H3V	high	virus	6	3	30.06.2016	45	14.08.2016	1	12	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
164	44	H4C	high	control	5	3	30.06.2016	45	14.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
165	45	H5V	high	virus	6	3	30.06.2016	45	14.08.2016	1	8	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
166	46	H6C	high	control	5	3	30.06.2016	45	14.08.2016	1	12	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
167	47	H7C	high	control	5	3	30.06.2016	45	14.08.2016	1	2	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
168	48	H8V	high	virus	6	3	30.06.2016	45	14.08.2016	1	14	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
169	49	H9V	high	virus	6	3	30.06.2016	45	14.08.2016	1	15	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
170	50	H10C	high	control	5	3	30.06.2016	45	14.08.2016	1	6	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
171	51	H11V	high	virus	6	3	30.06.2016	45	14.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
172	52	H12C	high	control	5	3	30.06.2016	45	14.08.2016	1	7	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
173	53	H13V	high	virus	6	3	30.06.2016	45	14.08.2016	1	8	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
174	54	H14C	high	control	5	3	30.06.2016	45	14.08.2016	1	2	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
175	55	H15V	high	virus	6	3	30.06.2016	45	14.08.2016	1	19	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
176	56	H16C	high	control	5	3	30.06.2016	45	14.08.2016	1	16	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
177	57	H17V	high	virus	6	3	30.06.2016	45	14.08.2016	1	18	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
178	58	H18V	high	virus	6	3	30.06.2016	45	14.08.2016	1	1	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
179	59	H19C	high	control	5	3	30.06.2016	45	14.08.2016	1	4	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
180	60	H20C	high	control	5	3	30.06.2016	45	14.08.2016	1	9	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
181	1	C1V	control	virus	2	4	30.06.2016	46	15.08.2016	1	7	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
182	2	C2C	control	control	1	4	30.06.2016	46	15.08.2016	1	30	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
183	3	C3C	control	control	1	4	30.06.2016	46	15.08.2016	1	15	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
184	4	C4V	control	virus	2	4	30.06.2016	46	15.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
185	5	C5V	control	virus	2	4	30.06.2016	46	15.08.2016	1	9	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
186	6	C6C	control	control	1	4	30.06.2016	46	15.08.2016	1	8	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
187	7	C7C	control	control	1	4	30.06.2016	46	15.08.2016	1	17	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
188	8	C8V	control	virus	2	4	30.06.2016	46	15.08.2016	1	23	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
189	9	C9C	control	control	1	4	30.06.2016	46	15.08.2016	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	no	no	1	0
190	10	C10C	control	control	1	4	30.06.2016	46	15.08.2016	1	22	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
191	11	C11V	control	virus	2	4	30.06.2016	46	15.08.2016	1	16	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
192	12	C12C	control	control	1	4	30.06.2016	46	15.08.2016	1	20	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
193	13	C13V	control	virus	2	4	30.06.2016	46	15.08.2016	1	15	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
194	14	C14C	control	control	1	4	30.06.2016	46	15.08.2016	1	18	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
195	15	C15V	control	virus	2	4	30.06.2016	46	15.08.2016	1	25	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
196	16	C16V	control	virus	2	4	30.06.2016	46	15.08.2016	1	9	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
197	17	C17V	control	virus	2	4	30.06.2016	46	15.08.2016	1	15	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
198	18	C18V	control	virus	2	4	30.06.2016	46	15.08.2016	1	24	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
199	19	C19C	control	control	1	4	30.06.2016	46	15.08.2016	1	15	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
200	20	C20C	control	control	1	4	30.06.2016	46	15.08.2016	1	18	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
201	21	L1V	low	virus	4	4	30.06.2016	46	15.08.2016	1	11	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
202	22	L2V	low	virus	4	4	30.06.2016	46	15.08.2016	1	16	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
203	23	L3C	low	control	3	4	30.06.2016	46	15.08.2016	1	24	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
204	24	L4C	low	control	3	4	30.06.2016	46	15.08.2016	1	15	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
205	25	L5V	low	virus	4	4	30.06.2016	46	15.08.2016	1	15	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
206	26	L6C	low	control	3	4	30.06.2016	46	15.08.2016	1	13	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
207	27	L7C	low	control	3	4	30.06.2016	46	15.08.2016	1	13	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
208	28	L8C	low	control	3	4	30.06.2016	46	15.08.2016	1	6	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
209	29	L9V	low	virus	4	4	30.06.2016	46	15.08.2016	1	14	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
210	30	L10V	low	virus	4	4	30.06.2016	46	15.08.2016	1	13	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
