nr_neonic	nr_old	id	neonic_test	treatment_1	treatment_2	treatment	TREATMENT_LARS	death_date	final	nr_adults 	sample	conc_thiamethoxam	conc_clothinianidin	nr_abdomens	fresh_weight	dry_weight	final_volume(ml)	conc_T_fresh	conc_T_dry	conc_T_abd	conc_C_fresh	conc_C_dry	conc_C_abd
11	13	C13V	y	control	virus	2	4	NA	y	294	worker	0	0	49	25.2	14.2	0.2	0	0	0	0	0	0
61	13	C13V	y	control	virus	2	4	NA	y	294	queen	0	0	1	22.3	17.9	0.2	0	0	0	0	0	0
12	14	C14C	y	control	control	1	1	NA	y	230	worker	0	0	43	25.3	14.1	0.2	0	0	0	0	0	0
62	14	C14C	y	control	control	1	1	NA	y	230	queen	0	0	1	26.2	24.4	0.2	0	0	0	0	0	0
102	15	C15V	y	control	virus	2	4	25.05.2017	n	18	queen	0	0	1	10.8	7.1	0.2	0	0	0	0	0	0
NA	15	C15V	n	control	virus	2	4	25.05.2017	n	18	worker	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
103	16	C16V	y	control	virus	2	4	30.08.2017	n	0	queen	0	0	1	8.4	5	0.2	0	0	0	0	0	0
NA	16	C16V	n	control	virus	2	4	30.08.2017	n	0	worker	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	17	C17V	y	control	virus	2	4	NA	y	144	worker	0	0	52	25.1	14	0.2	0	0	0	0	0	0
63	17	C17V	y	control	virus	2	4	NA	y	144	queen	0	0	1	29	15.5	0.2	0	0	0	0	0	0
14	18	C18V	y	control	virus	2	4	NA	y	245	worker	0	0	42	25.1	15.3	0.2	0	0	0	0	0	0
64	18	C18V	y	control	virus	2	4	NA	y	245	queen	0	0	1	20.8	18.3	0.2	0	0	0	0	0	0
15	19	C19C	y	control	control	1	1	NA	y	348	worker	0	0	43	25.0	15.2	0.2	0	0	0	0	0	0
65	19	C19C	y	control	control	1	1	NA	y	348	queen	0	0	1	17.4	10.2	0.2	0	0	0	0	0	0
16	20	C20C	y	control	control	1	1	NA	y	292	worker	0	0	43	25.0	14.4	0.2	0	0	0	0	0	0
66	20	C20C	y	control	control	1	1	NA	y	292	queen	0	0	1	19.7	11.3	0.2	0	0	0	0	0	0
17	21	L1V	y	low	virus	4	5	NA	y	142	worker	0.0112	0	47	25.3	14.1	0.2	0.088537549	0.158865248	0.047659574	0	0	0
67	21	L1V	y	low	virus	4	5	NA	y	142	queen	0.0142	0	1	22	15.3	0.2	0.129090909	0.185620915	2.84	0	0	0
18	22	L2V	y	low	virus	4	5	NA	y	131	worker	0.0174	0.0118	53	24.9	13.3	0.2	0.139759036	0.261654135	0.065660377	0.094779116	0.177443609	0.044528302
68	22	L2V	y	low	virus	4	5	NA	y	131	queen	0.0178	0	1	21.3	14.2	0.2	0.16713615	0.250704225	3.56	0	0	0
104	23	L3C	y	low	control	3	2	23.06.2017	n	36	queen	0.0162	0	1	5.0	2	0.2	0.648	1.62	3.24	0	0	0
NA	23	L3C	n	low	control	3	2	23.06.2017	n	36	worker	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	24	L4C	y	low	control	3	2	NA	y	189	worker	0.0074	0.0124	49	25.3	13.9	0.2	0.058498024	0.10647482	0.030204082	0.098023715	0.178417266	0.050612245
69	24	L4C	y	low	control	3	2	NA	y	189	queen	0.011	0	1	26.1	15.9	0.2	0.084291188	0.13836478	2.2	0	0	0
20	25	L5V	y	low	virus	4	5	NA	y	203	worker	0.0184	0.0091	50	24.9	15.2	0.2	0.147791165	0.242105263	0.0736	0.073092369	0.119736842	0.0364
70	25	L5V	y	low	virus	4	5	NA	y	203	queen	0.0246	0	1	21.8	18.5	0.2	0.225688073	0.265945946	4.92	0	0	0
21	26	L6C	y	low	control	3	2	NA	y	155	worker	0.0094	0.0196	47	25.3	15.4	0.2	0.0743083	0.122077922	0.04	0.154940711	0.254545455	0.083404255
71	26	L6C	y	low	control	3	2	NA	y	155	queen	0.0082	0	1	22.4	19.3	0.2	0.073214286	0.084974093	1.64	0	0	0
22	27	L7C	y	low	control	3	2	NA	y	187	worker	0.0115	0.0205	42	25.3	14.3	0.2	0.090909091	0.160839161	0.054761905	0.162055336	0.286713287	0.097619048
72	27	L7C	y	low	control	3	2	NA	y	187	queen	0.0083	0	1	15.6	8.8	0.2	0.106410256	0.188636364	1.66	0	0	0
23	28	L8C	y	low	control	3	2	NA	y	201	worker	0.0189	0.0131	41	25.1	16	0.2	0.15059761	0.23625	0.092195122	0.10438247	0.16375	0.063902439
73	28	L8C	y	low	control	3	2	NA	y	201	queen	0.0171	0	1	27.4	20.6	0.2	0.124817518	0.166019417	3.42	0	0	0
24	29	L9V	y	low	virus	4	5	NA	y	172	worker	0.0093	0.0223	43	25.2	16.2	0.2	0.073809524	0.114814815	0.043255814	0.176984127	0.275308642	0.10372093
74	29	L9V	y	low	virus	4	5	NA	y	172	queen	0.0174	0	1	35	24.6	0.2	0.099428571	0.141463415	3.48	0	0	0
105	30	L10V	y	low	virus	4	5	17.05.2017	n	14	queen	0.0081	0.0114	1	4.5	4.1	0.2	0.36	0.395121951	1.62	0.506666667	0.556097561	2.28
NA	30	L10V	n	low	virus	4	5	17.05.2017	n	14	worker	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	31	L11C	y	low	control	3	2	NA	y	163	worker	0.0065	0.0107	43	25.0	14.6	0.2	0.052	0.089041096	0.030232558	0.0856	0.146575342	0.049767442
75	31	L11C	y	low	control	3	2	NA	y	163	queen	0.0137	0	1	27.7	19.5	0.2	0.098916968	0.140512821	2.74	0	0	0
26	32	L12V	y	low	virus	4	5	NA	y	171	worker	0.0079	0.0179	44	24.9	13.8	0.2	0.063453815	0.114492754	0.035909091	0.1437751	0.25942029	0.081363636
76	32	L12V	y	low	virus	4	5	NA	y	171	queen	0.0117	0	1	25.4	14.7	0.2	0.092125984	0.159183673	2.34	0	0	0
27	33	L13V	y	low	virus	4	5	NA	y	204	worker	0.026	0.0122	55	24.7	14	0.2	0.210526316	0.371428571	0.094545455	0.098785425	0.174285714	0.044363636
77	33	L13V	y	low	virus	4	5	NA	y	204	queen	0.0071	0	1	34.7	22	0.2	0.04092219	0.064545455	1.42	0	0	0
106	34	L14C	y	low	control	3	2	12.09.2017	n	38	queen	0	0	1	25.2	6.8	0.2	0	0	0	0	0	0
NA	34	L14C	n	low	control	3	2	12.09.2017	n	38	worker	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	35	L15V	y	low	virus	4	5	NA	y	201	worker	0.0146	0.0146	51	25.2	13.7	0.2	0.115873016	0.213138686	0.057254902	0.115873016	0.213138686	0.057254902
78	35	L15V	y	low	virus	4	5	NA	y	201	queen	0.0128	0	1	32.5	24.1	0.2	0.078769231	0.106224066	2.56	0	0	0
29	36	L16V	y	low	virus	4	5	NA	y	153	worker	0.0673	0.0165	52	24.9	13.9	0.2	0.540562249	0.968345324	0.258846154	0.13253012	0.237410072	0.063461538
79	36	L16V	y	low	virus	4	5	NA	y	153	queen	0.0249	0	1	22.3	20.2	0.2	0.223318386	0.246534653	4.98	0	0	0
30	37	L17C	y	low	control	3	2	NA	y	285	worker	0.0077	0.0132	51	25.1	13.2	0.2	0.061354582	0.116666667	0.030196078	0.105179283	0.2	0.051764706
80	37	L17C	y	low	control	3	2	NA	y	285	queen	0.008	0	1	24.4	15.4	0.2	0.06557377	0.103896104	1.6	0	0	0
31	38	L18C	y	low	control	3	2	NA	y	198	worker	0.0079	0.0226	45	25.1	14.2	0.2	0.062948207	0.111267606	0.035111111	0.180079681	0.318309859	0.100444444
81	38	L18C	y	low	control	3	2	NA	y	198	queen	0.01	0	1	25	22.3	0.2	0.08	0.089686099	2	0	0	0
32	39	L19C	y	low	control	3	2	NA	y	179	worker	0.0286	0.0246	43	25.0	14.8	0.2	0.2288	0.386486486	0.133023256	0.1968	0.332432432	0.114418605
82	39	L19C	y	low	control	3	2	NA	y	179	queen	0.0145	0.0111	1	29.1	20.2	0.2	0.099656357	0.143564356	2.9	0.07628866	0.10990099	2.22
33	40	L20V	y	low	virus	4	5	NA	y	169	worker	0.0095	0.0287	47	24.9	13.2	0.2	0.076305221	0.143939394	0.040425532	0.230522088	0.434848485	0.12212766
83	40	L20V	y	low	virus	4	5	NA	y	169	queen	0.0159	0.0087	1	24.1	18.2	0.2	0.131950207	0.174725275	3.18	0.07219917	0.095604396	1.74
34	41	H1V	y	high	virus	6	6	NA	y	213	worker	0.0386	0.1064	47	25.3	15.2	0.2	0.30513834	0.507894737	0.164255319	0.841106719	1.4	0.452765957
84	41	H1V	y	high	virus	6	6	NA	y	213	queen	0.0438	0.011	1	23.2	22.1	0.2	0.377586207	0.39638009	8.76	0.094827586	0.099547511	2.2
35	42	H2C	y	high	control	5	3	NA	y	139	worker	0.0097	0.0915	39	24.9	14.4	0.2	0.077911647	0.134722222	0.04974359	0.734939759	1.270833333	0.469230769
85	42	H2C	y	high	control	5	3	NA	y	139	queen	0.0406	0.0179	1	27.1	18.5	0.2	0.299630996	0.438918919	8.12	0.132103321	0.193513514	3.58
36	43	H3V	y	high	virus	6	6	NA	y	78	worker	0.1769	0.1424	49	25.1	14.5	0.2	1.409561753	2.44	0.722040816	1.134661355	1.964137931	0.58122449
86	43	H3V	y	high	virus	6	6	NA	y	78	queen	0.0382	0.0143	1	25	12.5	0.2	0.3056	0.6112	7.64	0.1144	0.2288	2.86
88	44	H4C	y	high	control	5	3	26.08.2016	n	0	queen	0.0212	0.0367	1	17.5	8.2	0.2	0.242285714	0.517073171	4.24	0.419428571	0.895121951	7.34
NA	44	H4C	n	high	control	5	3	26.08.2016	n	0	worker	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
37	45	H5V	y	high	virus	6	6	NA	y	124	worker	0.1397	0.1251	52	24.8	13.9	0.2	1.126612903	2.010071942	0.537307692	1.008870968	1.8	0.481153846
87	45	H5V	y	high	virus	6	6	NA	y	124	queen	0.0258	0.0193	1	27.3	14.8	0.2	0.189010989	0.348648649	5.16	0.141391941	0.260810811	3.86
38	46	H6C	y	high	control	5	3	NA	y	193	worker	0.0334	0.0495	51	25.0	13.1	0.2	0.2672	0.509923664	0.130980392	0.396	0.755725191	0.194117647
111	46	H6C	y	high	control	5	3	NA	y	193	queen	0.028	0	1	30.4	23.9	0.2	0.184210526	0.234309623	5.6	0	0	0
39	47	H7C	y	high	control	5	3	NA	y	126	worker	0.097	0.0448	44	25.4	15.6	0.2	0.763779528	1.243589744	0.440909091	0.352755906	0.574358974	0.203636364
89	47	H7C	y	high	control	5	3	NA	y	126	queen	0.012	0.0134	1	20.8	10.4	0.2	0.115384615	0.230769231	2.4	0.128846154	0.257692308	2.68
40	48	H8V	y	high	virus	6	6	NA	y	140	worker	0.1265	0.0334	48	25.2	13.8	0.2	1.003968254	1.833333333	0.527083333	0.265079365	0.484057971	0.139166667
90	48	H8V	y	high	virus	6	6	NA	y	140	queen	0.0094	0	1	16.2	13.6	0.2	0.116049383	0.138235294	1.88	0	0	0
41	49	H9V	y	high	virus	6	6	NA	y	112	worker	0.084	0.1362	53	25.0	13.3	0.2	0.672	1.263157895	0.316981132	1.0896	2.048120301	0.513962264
91	49	H9V	y	high	virus	6	6	NA	y	112	queen	0.024	0.0218	1	25.1	22.1	0.2	0.19123506	0.21719457	4.8	0.173705179	0.197285068	4.36
42	50	H10C	y	high	control	5	3	NA	y	146	worker	0.0565	0.1826	47	25.2	13.1	0.2	0.448412698	0.86259542	0.240425532	1.449206349	2.78778626	0.777021277
92	50	H10C	y	high	control	5	3	NA	y	146	queen	0.137	0.0162	1	27.5	19.1	0.2	0.996363636	1.434554974	27.4	0.117818182	0.169633508	3.24
107	51	H11V	y	high	virus	6	6	23.11.2016	n	0	queen	0.0091	0.01	1	10.9	9.7	0.2	0.166972477	0.187628866	1.82	0.183486239	0.206185567	2
NA	51	H11V	n	high	virus	6	6	23.11.2016	n	0	worker	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	52	H12C	y	high	control	5	3	NA	y	216	worker	0.036	0.0887	53	24.7	13.6	0.2	0.291497976	0.529411765	0.135849057	0.718218623	1.304411765	0.334716981
93	52	H12C	y	high	control	5	3	NA	y	216	queen	0.0171	0	1	23.7	19	0.2	0.144303797	0.18	3.42	0	0	0
44	53	H13V	y	high	virus	6	6	NA	y	236	worker	0.0176	0.109	54	24.9	13	0.2	0.141365462	0.270769231	0.065185185	0.875502008	1.676923077	0.403703704
94	53	H13V	y	high	virus	6	6	NA	y	236	queen	0.0134	0.0114	1	23.6	14.9	0.2	0.113559322	0.179865772	2.68	0.096610169	0.153020134	2.28
45	54	H14C	y	high	control	5	3	NA	y	131	worker	0.0879	0.2322	52	24.7	13.1	0.2	0.711740891	1.341984733	0.338076923	1.880161943	3.545038168	0.893076923
95	54	H14C	y	high	control	5	3	NA	y	131	queen	0.0777	0.0305	1	25	13.3	0.2	0.6216	1.168421053	15.54	0.244	0.458646617	6.1
46	55	H15V	y	high	virus	6	6	NA	y	158	worker	0.0223	0.0945	40	24.4	15.4	0.2	0.182786885	0.28961039	0.1115	0.774590164	1.227272727	0.4725
96	55	H15V	y	high	virus	6	6	NA	y	158	queen	0.0167	0.0112	1	20	16.1	0.2	0.167	0.207453416	3.34	0.112	0.139130435	2.24
47	56	H16C	y	high	control	5	3	NA	y	182	worker	0.0227	0.1621	48	25.0	14.4	0.2	0.1816	0.315277778	0.094583333	1.2968	2.251388889	0.675416667
97	56	H16C	y	high	control	5	3	NA	y	182	queen	0.0225	0.0173	1	21.5	17.9	0.2	0.209302326	0.251396648	4.5	0.160930233	0.193296089	3.46
48	57	H17V	y	high	virus	6	6	NA	y	142	worker	0.0036	0.0183	38	24.8	14	0.2	0.029032258	0.051428571	0.018947368	0.147580645	0.261428571	0.096315789
98	57	H17V	y	high	virus	6	6	NA	y	142	queen	0.018	0	1	29.1	22.1	0.2	0.12371134	0.162895928	3.6	0	0	0
100	58	H18V	y	high	virus	6	6	10.05.2017	n	0	queen	0.0125	0.0201	1	979.9	11.1	0.2	0.002551281	0.225225225	2.5	0.004102459	0.362162162	4.02
NA	58	H18V	n	high	virus	6	6	10.05.2017	n	0	worker	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	59	H19C	n	high	control	5	3	11.07.2017	n	0	worker	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	59	H19C	n	high	control	5	3	11.07.2017	n	0	queen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
49	60	H20C	y	high	control	5	3	NA	y	157	worker	0.0198	0.0644	43	25.0	14.4	0.2	0.1584	0.275	0.092093023	0.5152	0.894444444	0.299534884
99	60	H20C	y	high	control	5	3	NA	y	157	queen	0.0198	0.0109	1	29.6	22.2	0.2	0.133783784	0.178378378	3.96	0.073648649	0.098198198	2.18
50	NA	blank	y	NA	NA	NA	NA	NA	NA	NA	blank	0	0	0	0	0	0.2	0	0	0	0	0	0
109	NA	blank	y	NA	NA	NA	NA	NA	NA	NA	blank	0	0	1	0	0	0.2	0	0	0	0	0	0
110	NA	blank	y	NA	NA	NA	NA	NA	NA	NA	blank	0	0	1	NA	NA	0.2	0	0	0	0	0	0
