nr_neonic_analyses	nr_during_experiment	nr_virusanalyses	virus_qualitative	virus_titer	virus_titer_2	id	neonic_analyses	virus_analyses	treatment_1	treatment_2	treatment	TREATMENT_LARS	death_date	final	nr_adults 	sample	conc_thiamethoxam	conc_clothinianidin	nr_abdomens	fresh_weight_abdomen	dry_weight_abdomen	final_volume(ml)	conc_T_dry	conc_C_dry	death_date	death_date	ctd_w	ctd_q	ccd_w	ccd_q		
36	43	36	y	54250.46437	5.43E+04	H3V	y	y	high	virus	6	6	NA	y	78	worker	0.1769	0.1424	49	25.1	14.5	0.2	2.44	1.964137931	NA	NA	2.44	0.6112	1.964137931	0.2288		
37	45	37	n	0	0.00E+00	H5V	y	y	high	virus	6	6	NA	y	124	worker	0.1397	0.1251	52	24.8	13.9	0.2	2.010071942	1.8	NA	NA	2.010071942	0.348648649	1.8	0.260810811		
38	46	38	n	0	0.00E+00	H6C	y	y	high	control	5	3	NA	y	193	worker	0.0334	0.0495	51	25.0	13.1	0.2	0.509923664	0.755725191	NA	NA	0.509923664	0.517073171	0.755725191	0.895121951		
39	47	39	n	0	0.00E+00	H7C	y	y	high	control	5	3	NA	y	126	worker	0.097	0.0448	44	25.4	15.6	0.2	1.243589744	0.574358974	NA	NA	1.243589744	0.230769231	0.574358974	0.257692308		
40	48	40	y	3934.914703	3.93E+03	H8V	y	y	high	virus	6	6	NA	y	140	worker	0.1265	0.0334	48	25.2	13.8	0.2	1.833333333	0.484057971	NA	NA	1.833333333	0.138235294	0.484057971	0		
41	49	41	y	143565.951	1.44E+05	H9V	y	y	high	virus	6	6	NA	y	112	worker	0.084	0.1362	53	25.0	13.3	0.2	1.263157895	2.048120301	NA	NA	1.263157895	0.21719457	2.048120301	0.197285068		
42	50	42	n	0	0.00E+00	H10C	y	y	high	control	5	3	NA	y	146	worker	0.0565	0.1826	47	25.2	13.1	0.2	0.86259542	2.78778626	NA	NA	0.86259542	1.434554974	2.78778626	0.169633508		
43	52	43	n	0	0.00E+00	H12C	y	y	high	control	5	3	NA	y	216	worker	0.036	0.0887	53	24.7	13.6	0.2	0.529411765	1.304411765	NA	NA	0.529411765	0.18	1.304411765	0		
44	53	44	y	86828.92734	8.68E+04	H13V	y	y	high	virus	6	6	NA	y	236	worker	0.0176	0.109	54	24.9	13	0.2	0.270769231	1.676923077	NA	NA	0.270769231	0.179865772	1.676923077	0.153020134		
45	54	45	n	0	0.00E+00	H14C	y	y	high	control	5	3	NA	y	131	worker	0.0879	0.2322	52	24.7	13.1	0.2	1.341984733	3.545038168	NA	NA	1.341984733	1.168421053	3.545038168	0.458646617		
46	55	46	n	0	0.00E+00	H15V	y	y	high	virus	6	6	NA	y	158	worker	0.0223	0.0945	40	24.4	15.4	0.2	0.28961039	1.227272727	NA	NA	0.28961039	0.207453416	1.227272727	0.139130435		
47	56	47	n	0	0.00E+00	H16C	y	y	high	control	5	3	NA	y	182	worker	0.0227	0.1621	48	25.0	14.4	0.2	0.315277778	2.251388889	NA	NA	0.315277778	0.251396648	2.251388889	0.193296089		
48	57	48	n	0	0.00E+00	H17V	y	y	high	virus	6	6	NA	y	142	worker	0.0036	0.0183	38	24.8	14	0.2	0.051428571	0.261428571	NA	NA	0.051428571	0.162895928	0.261428571	0		
49	60	49	n	0	0.00E+00	H20C	y	y	high	control	5	3	NA	y	157	worker	0.0198	0.0644	43	25.0	14.4	0.2	0.275	0.894444444	NA	NA	0.275	0.178378378	0.894444444	0.098198198		
50	NA	NA	NA	NA	NA	blank_neonic1	y	n	NA	NA	NA	NA	NA	NA	NA	blank_neonic	0	0	0	0	0	0.2	0	0	NA	NA	NA	NA	NA	NA		
51	1	51	n	0	0.00E+00	C1V	y	y	control	virus	2	4	NA	y	197	queen	0.01	0.0105	1	27.8	15.1	0.2	0.132450331	0.139072848	NA	NA	NA	NA	NA	NA		
52	2	52	n	0	0.00E+00	C2C	y	y	control	control	1	1	NA	y	289	queen	0	0	1	33.9	23.5	0.2	0	0	NA	NA	NA	NA	NA	NA		
53	3	53	n	0	0.00E+00	C3C	y	y	control	control	1	1	NA	y	219	queen	0	0	1	26.5	21.9	0.2	0	0	NA	NA	NA	NA	NA	NA		
54	4	54	y	263852.3275	2.64E+05	C4V	y	y	control	virus	2	4	NA	y	235	queen	0	0	1	22.7	11.4	0.2	0	0	NA	NA	NA	NA	NA	NA		
55	5	55	y	412444.4225	4.12E+05	C5V	y	y	control	virus	2	4	NA	y	174	queen	0	0	1	23.8	14.2	0.2	0	0	NA	NA	NA	NA	NA	NA		
56	6	56	n	0	0.00E+00	C6C	y	y	control	control	1	1	NA	y	392	queen	0	0	1	29.3	21.9	0.2	0	0	NA	NA	NA	NA	NA	NA		
57	7	57	n	0	0.00E+00	C7C	y	y	control	control	1	1	NA	y	231	queen	0	0	1	18.8	14.8	0.2	0	0	NA	NA	NA	NA	NA	NA		
58	8	58	y	202222.6821	2.02E+05	C8V	y	y	control	virus	2	4	NA	y	107	queen	0	0	1	18.6	11.3	0.2	0	0	NA	NA	NA	NA	NA	NA		
59	10	59	n	0	0.00E+00	C10C	y	y	control	control	1	1	NA	y	293	queen	0	0	1	23.2	15.8	0.2	0	0	NA	NA	NA	NA	NA	NA		
60	11	60	y	69102.81461	6.91E+04	C11V	y	y	control	virus	2	4	NA	y	155	queen	0	0	1	20.9	18.1	0.2	0	0	NA	NA	NA	NA	NA	NA		
61	13	61	y	279009.8776	2.79E+05	C13V	y	y	control	virus	2	4	NA	y	294	queen	0	0	1	22.3	17.9	0.2	0	0	NA	NA	NA	NA	NA	NA		
62	14	62	NA	NA	NA	C14C	y	n	control	control	1	1	NA	y	230	queen	0	0	1	26.2	24.4	0.2	0	0	NA	NA	NA	NA	NA	NA		
63	17	63	n	0	0.00E+00	C17V	y	y	control	virus	2	4	NA	y	144	queen	0	0	1	29	15.5	0.2	0	0	NA	NA	NA	NA	NA	NA		
64	18	64	n	0	0.00E+00	C18V	y	y	control	virus	2	4	NA	y	245	queen	0	0	1	20.8	18.3	0.2	0	0	NA	NA	NA	NA	NA	NA		
65	19	65	y	5816186.802	5.82E+06	C19C	y	y	control	control	1	1	NA	y	348	queen	0	0	1	17.4	10.2	0.2	0	0	NA	NA	NA	NA	NA	NA		
66	20	66	y	12766.0299	1.28E+04	C20C	y	y	control	control	1	1	NA	y	292	queen	0	0	1	19.7	11.3	0.2	0	0	NA	NA	NA	NA	NA	NA		
67	21	67	y	176723.6219	1.77E+05	L1V	y	y	low	virus	4	5	NA	y	142	queen	0.0142	0	1	22	15.3	0.2	0.185620915	0	NA	NA	NA	NA	NA	NA		
68	22	68	y	867071.8752	8.67E+05	L2V	y	y	low	virus	4	5	NA	y	131	queen	0.0178	0	1	21.3	14.2	0.2	0.250704225	0	NA	NA	NA	NA	NA	NA		
69	24	69	n	0	0.00E+00	L4C	y	y	low	control	3	2	NA	y	189	queen	0.011	0	1	26.1	15.9	0.2	0.13836478	0	NA	NA	NA	NA	NA	NA		
70	25	70	y	13831.33777	1.38E+04	L5V	y	y	low	virus	4	5	NA	y	203	queen	0.0246	0	1	21.8	18.5	0.2	0.265945946	0	NA	NA	NA	NA	NA	NA		
71	26	71	n	0	0.00E+00	L6C	y	y	low	control	3	2	NA	y	155	queen	0.0082	0	1	22.4	19.3	0.2	0.084974093	0	NA	NA	NA	NA	NA	NA		
72	27	72	n	0	0.00E+00	L7C	y	y	low	control	3	2	NA	y	187	queen	0.0083	0	1	15.6	8.8	0.2	0.188636364	0	NA	NA	NA	NA	NA	NA		
73	28	73	n	0	0.00E+00	L8C	y	y	low	control	3	2	NA	y	201	queen	0.0171	0	1	27.4	20.6	0.2	0.166019417	0	NA	NA	NA	NA	NA	NA		
74	29	74	y	80850.25011	8.09E+04	L9V	y	y	low	virus	4	5	NA	y	172	queen	0.0174	0	1	35	24.6	0.2	0.141463415	0	NA	NA	NA	NA	NA	NA		
75	31	75	y	38578.62438	3.86E+04	L11C	y	y	low	control	3	2	NA	y	163	queen	0.0137	0	1	27.7	19.5	0.2	0.140512821	0	NA	NA	NA	NA	NA	NA		
76	32	76	y	44654.80585	4.47E+04	L12V	y	y	low	virus	4	5	NA	y	171	queen	0.0117	0	1	25.4	14.7	0.2	0.159183673	0	NA	NA	NA	NA	NA	NA		
77	33	77	y	865187.2649	8.65E+05	L13V	y	y	low	virus	4	5	NA	y	204	queen	0.0071	0	1	34.7	22	0.2	0.064545455	0	NA	NA	NA	NA	NA	NA		
78	35	78	y	164236.3444	1.64E+05	L15V	y	y	low	virus	4	5	NA	y	201	queen	0.0128	0	1	32.5	24.1	0.2	0.106224066	0	NA	NA	NA	NA	NA	NA		
79	36	79	n	0	0.00E+00	L16V	y	y	low	virus	4	5	NA	y	153	queen	0.0249	0	1	22.3	20.2	0.2	0.246534653	0	NA	NA	NA	NA	NA	NA		
80	37	80	n	0	0.00E+00	L17C	y	y	low	control	3	2	NA	y	285	queen	0.008	0	1	24.4	15.4	0.2	0.103896104	0	NA	NA	NA	NA	NA	NA		
81	38	81	y	20650.85395	2.07E+04	L18C	y	y	low	control	3	2	NA	y	198	queen	0.01	0	1	25	22.3	0.2	0.089686099	0	NA	NA	NA	NA	NA	NA		
82	39	82	y	21263.53417	2.13E+04	L19C	y	y	low	control	3	2	NA	y	179	queen	0.0145	0.0111	1	29.1	20.2	0.2	0.143564356	0.10990099	NA	NA	NA	NA	NA	NA		
83	40	83	y	220284.8658	2.20E+05	L20V	y	y	low	virus	4	5	NA	y	169	queen	0.0159	0.0087	1	24.1	18.2	0.2	0.174725275	0.095604396	NA	NA	NA	NA	NA	NA		
84	41	84	y	993666.8651	9.94E+05	H1V	y	y	high	virus	6	6	NA	y	213	queen	0.0438	0.011	1	23.2	22.1	0.2	0.39638009	0.099547511	NA	NA	NA	NA	NA	NA		
85	42	85	n	0	0.00E+00	H2C	y	y	high	control	5	3	NA	y	139	queen	0.0406	0.0179	1	27.1	18.5	0.2	0.438918919	0.193513514	NA	NA	NA	NA	NA	NA		
86	43	86	y	160432.9162	1.60E+05	H3V	y	y	high	virus	6	6	NA	y	78	queen	0.0382	0.0143	1	25	12.5	0.2	0.6112	0.2288	NA	NA	NA	NA	NA	NA		
87	45	87	n	0	0.00E+00	H5V	y	y	high	virus	6	6	NA	y	124	queen	0.0258	0.0193	1	27.3	14.8	0.2	0.348648649	0.260810811	NA	NA	NA	NA	NA	NA		
88	44	88	y	70084.7297	7.01E+04	H4C	y	y	high	control	5	3	26.08.2016	n	0	queen	0.0212	0.0367	1	17.5	8.2	0.2	0.517073171	0.895121951	26.08.2016	26.08.2016	NA	NA	NA	NA		
89	47	89	y	11022.48992	1.10E+04	H7C	y	y	high	control	5	3	NA	y	126	queen	0.012	0.0134	1	20.8	10.4	0.2	0.230769231	0.257692308	NA	NA	NA	NA	NA	NA		
90	48	90	y	52960.54778	5.30E+04	H8V	y	y	high	virus	6	6	NA	y	140	queen	0.0094	0	1	16.2	13.6	0.2	0.138235294	0	NA	NA	NA	NA	NA	NA		
91	49	91	y	81147.95251	8.11E+04	H9V	y	y	high	virus	6	6	NA	y	112	queen	0.024	0.0218	1	25.1	22.1	0.2	0.21719457	0.197285068	NA	NA	NA	NA	NA	NA		
92	50	92	n	0	0.00E+00	H10C	y	y	high	control	5	3	NA	y	146	queen	0.137	0.0162	1	27.5	19.1	0.2	1.434554974	0.169633508	NA	NA	NA	NA	NA	NA		
93	52	93	n	0	0.00E+00	H12C	y	y	high	control	5	3	NA	y	216	queen	0.0171	0	1	23.7	19	0.2	0.18	0	NA	NA	NA	NA	NA	NA		
94	53	94	y	385549.0138	3.86E+05	H13V	y	y	high	virus	6	6	NA	y	236	queen	0.0134	0.0114	1	23.6	14.9	0.2	0.179865772	0.153020134	NA	NA	NA	NA	NA	NA		
95	54	95	y	1469.771463	1.47E+03	H14C	y	y	high	control	5	3	NA	y	131	queen	0.0777	0.0305	1	25	13.3	0.2	1.168421053	0.458646617	NA	NA	NA	NA	NA	NA		
96	55	96	n	0	0.00E+00	H15V	y	y	high	virus	6	6	NA	y	158	queen	0.0167	0.0112	1	20	16.1	0.2	0.207453416	0.139130435	NA	NA	NA	NA	NA	NA		
97	56	97	y	13827.63386	1.38E+04	H16C	y	y	high	control	5	3	NA	y	182	queen	0.0225	0.0173	1	21.5	17.9	0.2	0.251396648	0.193296089	NA	NA	NA	NA	NA	NA		
98	57	98	y	341358.1893	3.41E+05	H17V	y	y	high	virus	6	6	NA	y	142	queen	0.018	0	1	29.1	22.1	0.2	0.162895928	0	NA	NA	NA	NA	NA	NA		
99	60	99	y	114576.9846	1.15E+05	H20C	y	y	high	control	5	3	NA	y	157	queen	0.0198	0.0109	1	29.6	22.2	0.2	0.178378378	0.098198198	NA	NA	NA	NA	NA	NA		
100	58	NA	NA	NA	NA	H18V	y	n	high	virus	6	6	10.05.2017	n	0	queen	0.0125	0.0201	1	NA	11.1	0.2	0.225225225	0.362162162	10.05.2017	42865	NA	NA	NA	NA		
101	9	NA	NA	NA	NA	C9C	y	n	control	control	1	1	14.08.2016	n	0	queen	0	0	1	17.8	11.4	0.2	0	0	14.08.2016	42596	NA	NA	NA	NA		
102	15	NA	NA	NA	NA	C15V	y	n	control	virus	2	4	25.05.2017	n	18	queen	0	0	1	10.8	7.1	0.2	0	0	25.05.2017	42880	NA	NA	NA	NA		
103	16	100	y	150259.2059	1.50E+05	C16V	y	y	control	virus	2	4	30.08.2017	n	0	queen	0	0	1	8.4	5	0.2	0	0	30.08.2017	42977	NA	NA	NA	NA		
104	23	NA	NA	NA	NA	L3C	y	n	low	control	3	2	23.06.2017	n	36	queen	0.0162	0	1	5.0	2	0.2	1.62	0	23.06.2017	42909	NA	NA	NA	NA		
105	30	NA	NA	NA	NA	L10V	y	n	low	virus	4	5	17.05.2017	n	14	queen	0.0081	0.0114	1	4.5	4.1	0.2	0.395121951	0.556097561	17.05.2017	42872	NA	NA	NA	NA		
106	34	101	y	185856.8937	1.86E+05	L14C	y	y	low	control	3	2	12.09.2017	n	38	queen	0	0	1	25.2	6.8	0.2	0	0	12.09.2017	42990	NA	NA	NA	NA		
107	51	NA	NA	NA	NA	H11V	y	n	high	virus	6	6	23.11.2016	n	0	queen	0.0091	0.01	1	10.9	9.7	0.2	0.187628866	0.206185567	23.11.2016	42697	NA	NA	NA	NA		
109	NA	NA	NA	NA	NA	blank_neonic2	y	n	NA	NA	NA	NA	NA	NA	NA	blank_neonic	0	0	1	0	0	0.2	0	0	NA	NA	NA	NA	NA	NA		
110	NA	NA	NA	NA	NA	blank_neonic3	y	n	NA	NA	NA	NA	NA	NA	NA	blank_neonic	0	0	1	NA	NA	0.2	0	0	NA	NA	NA	NA	NA	NA		
111	46	NA	NA	NA	NA	H6C	y	n	high	control	5	3	NA	y	193	queen	0.028	0	1	30.4	23.9	0.2	0.234309623	0	NA	NA	NA	NA	NA	NA		
NA	49	50	y	13331260.17	1.33E+07	H9V	n	y	high	virus	6	6	NA	y	112	worker	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		
NA	34	102	n	0	0.00E+00	L14C	n	y	low	control	3	2	12.09.2017	n	38	worker	NA	NA	NA	NA	NA	NA	NA	NA	12.09.2017	42990	NA	NA	NA	NA		
NA	NA	103	y	277974.1959	2.78E+05	injection_solution	n	y	NA	NA	NA	NA	NA	NA	NA	injection_solution	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		
NA	NA	104	y	1.95177E+12	1.95E+12	feeding_pupae_injected	n	y	NA	NA	NA	NA	NA	NA	NA	feeding_pupae_injected	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		
NA	NA	105	y	9194082.574	9.19E+06	feeding_pupae_control	n	y	NA	NA	NA	NA	NA	NA	NA	feeding_pupae_control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		
NA	11	106	y	3989977.32	3.99E+06	C11V_single_ant_head	n	y	control	virus	2	4	NA	y	155	C11V_single_ant_head	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		
NA	11	107	n	0	0.00E+00	C11V_single_ant_abdomen	n	y	control	virus	2	4	NA	y	155	C11V_single_ant_abdomen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		
NA	22	108	n	0	0.00E+00	L2V_single_ant_head	n	y	low	virus	4	5	NA	y	131	L2V_single_ant_head	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		
NA	22	109	y	259786.9836	2.60E+05	L2V_single_ant_abdomen	n	y	low	virus	4	5	NA	y	131	L2V_single_ant_abdomen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		
NA	48	110	y	34957.53168	3.50E+04	H8V_single_ant_head	n	y	high	virus	6	6	NA	y	140	H8V_single_ant_head	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		
NA	48	111	y	4995.168269	5.00E+03	H8V_single_ant_abdomen	n	y	high	virus	6	6	NA	y	140	H8V_single_ant_abdomen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		
NA	NA	112	n	0	0.00E+00	blank_virus1	n	y	NA	NA	NA	NA	NA	NA	NA	blank_virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		
NA	NA	113	n	0	0.00E+00	blank_virus2	n	y	NA	NA	NA	NA	NA	NA	NA	blank_virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		
NA	NA	114	n	0	0.00E+00	blank_virus3	n	y	NA	NA	NA	NA	NA	NA	NA	blank_virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		
NA	9	NA	NA	NA	NA	C9C	n	n	control	control	1	1	14.08.2016	n	0	worker	NA	NA	NA	NA	NA	NA	NA	NA	14.08.2016	42596	NA	NA	NA	NA		
NA	12	NA	NA	NA	NA	C12C	n	n	control	control	1	1	17.05.2017	n	18	worker	NA	NA	NA	NA	NA	NA	NA	NA	17.05.2017	42872	NA	NA	NA	NA		
NA	12	NA	NA	NA	NA	C12C	n	n	control	control	1	1	17.05.2017	n	18	queen	NA	NA	NA	NA	NA	NA	NA	NA	17.05.2017	42872	NA	NA	NA	NA		
NA	15	NA	NA	NA	NA	C15V	n	n	control	virus	2	4	25.05.2017	n	18	worker	NA	NA	NA	NA	NA	NA	NA	NA	25.05.2017	42880	NA	NA	NA	NA		
NA	16	NA	NA	NA	NA	C16V	n	n	control	virus	2	4	30.08.2017	n	0	worker	NA	NA	NA	NA	NA	NA	NA	NA	30.08.2017	42977	NA	NA	NA	NA		
NA	23	NA	NA	NA	NA	L3C	n	n	low	control	3	2	23.06.2017	n	36	worker	NA	NA	NA	NA	NA	NA	NA	NA	23.06.2017	42909	NA	NA	NA	NA		
NA	30	NA	NA	NA	NA	L10V	n	n	low	virus	4	5	17.05.2017	n	14	worker	NA	NA	NA	NA	NA	NA	NA	NA	17.05.2017	42872	NA	NA	NA	NA		
NA	44	NA	NA	NA	NA	H4C	n	n	high	control	5	3	26.08.2016	n	0	worker	NA	NA	NA	NA	NA	NA	NA	NA	26.08.2016	42608	NA	NA	NA	NA		
NA	51	NA	NA	NA	NA	H11V	n	n	high	virus	6	6	23.11.2016	n	0	worker	NA	NA	NA	NA	NA	NA	NA	NA	23.11.2016	42697	NA	NA	NA	NA		
NA	58	NA	NA	NA	NA	H18V	n	n	high	virus	6	6	10.05.2017	n	0	worker	NA	NA	NA	NA	NA	NA	NA	NA	10.05.2017	42865	NA	NA	NA	NA		
NA	59	NA	NA	NA	NA	H19C	n	n	high	control	5	3	11.07.2017	n	0	worker	NA	NA	NA	NA	NA	NA	NA	NA	11.07.2017	42927	NA	NA	NA	NA		
NA	59	NA	NA	NA	NA	H19C	n	n	high	control	5	3	11.07.2017	n	0	queen	NA	NA	NA	NA	NA	NA	NA	NA	11.07.2017	42927	NA	NA	NA	NA		
